id,space_id,command,command_ko,mode,trig,act,dev_trig,dev_act,ref,expect,d,tier,b1,b3,context,why,targets,target_svc,ir_gt
G00001,FARM01,"Wait up to 20 minutes to see if the washing machine is running; if not, run the away scene on the lights","세탁기가 도는지 최대 20분 기다려 보고, 그래도 아니면 조명 외출 모드 실행해",trigger,button,light.scene,Button,Light,none,refuse,D10,T3,set|read,1,none,no_device,,,
G00002,FARM01,"Wait up to 20 minutes to see if the battery is under 20 percent; if not, run the reading scene on the lights.","배터리가 20퍼센트 아래로 내려가는지 최대 20분 기다려 보고, 그래도 아니면 조명 독서 모드 실행해.",trigger,button,light.scene,Button,Light,none,refuse,D10,T3,set|read,1,none,no_device,,,
G00003,FARM01,"When I press the button, count how many times it happens and put the lights into relax mode once it passes 5",내가 버튼을 누를 때 그 횟수를 세다가 5번을 넘으면 조명 휴식 모드로 해,trigger,button,light.scene,Button,Light,place,refuse,D12,T4,set|read,1,none,no_device,,,
G00004,FARM01,"When I double-press the button, check every 20 minutes and run the away scene on the lights if it is dark outside",버튼이 연속 두 번 눌리면 20분마다 확인해서 바깥이 어두울 때 조명 외출 모드 실행해,trigger,button,light.scene,Button,Light,none,refuse,D7,T3,set,1,none,no_device,,,
G00005,FARM01,"Wait up to 15 minutes to see if the washing machine is running; if not, set the lights to the focus scene","세탁기가 도는지 최대 15분 기다려 보고, 그래도 아니면 조명 집중 모드로 해",trigger,button,light.scene,Button,Light,none,refuse,D10,T3,set,1,none,no_device,,,
G00006,FARM04,"Wait up to 20 minutes to see if the washing machine is running; if not, put the lights into away mode.","세탁기가 도는지 최대 20분 기다려 보고, 그래도 아니면 조명 외출 모드로 해.",trigger,button,light.scene,Button,Light,place,refuse,D10,T3,set,1,none,no_device,,,
G00007,FARM04,"When I double-press the button, wait 30 minutes and then put the lights into away mode",버튼이 연속 두 번 눌리면 30분 기다렸다가 조명 외출 모드로 해,trigger,button,light.scene,Button,Light,plain,refuse,D2,T2,set,1,none,no_device,,,
G00008,FARM01,"When the scene button is pressed, switch the lights to the dinner scene, but only if the room is too warm",씬 버튼이 눌리면 방이 더울 때만 조명 저녁 식사 모드로 바꿔,trigger,button,light.scene,Button,Light,plain,refuse,D3,T2,set,1,none,no_device,,,
G00009,FARM04,can you set the lights to the party scene with a single press of the button?,버튼을 한 번 누르면 조명 파티 모드로 해 줄래?,trigger,button,light.scene,Button,Light,none,refuse,D4,T1,set,1,none,no_device,,,
G00010,FARM01,I'd like you to get this place ready for guests with one tap on the wall switch.,벽 스위치를 한 번 누르면 손님 맞을 준비해 줬으면 해.,trigger,button,light.scene,Button,Light,vague,refuse,D4,T1,set,1,none,no_device,,,
G00011,FARM01,could you put the lights into relax mode when I press the button?,내가 버튼을 누르면 조명 휴식 모드로 해 줄 수 있어?,trigger,button,light.scene,Button,Light,plain,refuse,D4,T1,set,1,none,no_device,,,
G00012,FARM01,Switch the lights to the morning scene when I double-press the button,버튼이 연속 두 번 눌리면 조명 아침 모드로 바꿔,trigger,button,light.scene,Button,Light,plain,refuse,D4,T1,set,1,none,no_device,,,
G00013,FARM01,"When the scene button is pressed, set the lights to the morning scene.",씬 버튼이 눌리면 조명 아침 모드로 해.,trigger,button,light.scene,Button,Light,none,refuse,D4,T1,set,1,none,no_device,,,
G00014,HOME08,please run the away scene on the lights with a single press of the button.,버튼을 한 번 누르면 조명 외출 모드 실행해 주세요.,trigger,button,light.scene,Button,Light,none,execute,D4,T1,set,1,none,,HOME08_LivingRoom_Light_1 HOME08_LivingRoom_Light_2 HOME08_Bedroom_Light_1 HOME08_Kitchen_Light_1,,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""Button.Button == \""pushed\"""", ""edge"": ""rising""}, {""op"": ""call"", ""target"": ""Switch.Off"", ""args"": {}}]}"
G00015,HOME16,can you put the light into away mode with one tap on the wall switch?,벽 스위치를 한 번 누르면 조명 외출 모드로 해 줄래?,trigger,button,light.scene,Button,Light,onedup,ask,D4,T1,set,1,none,,HOME16_LivingRoom_Light_1 HOME16_LivingRoom_Light_2 HOME16_Bedroom_Light_1 HOME16_Garden_Light_1,,
G00016,LAB01,I'd like you to switch the light to the dinner scene when I press the button.,내가 버튼을 누르면 조명 저녁 식사 모드로 바꿔 줬으면 해.,trigger,button,light.scene,Button,Light,onedup,ask,D4,T1,set,1,none,,tc0_5452b6c5-0dee-4cca-ba6f-15582b358305 tc0_7def1d9d-721c-4e35-b217-51fb8b46ba59 tc0_081181c1-3210-4ad2-8af1-f262fdc0fc76 tc0_ebfb522a028ef8add497wu tc0_eb8c9cf310d709af51rs9c tc0_57b081e4-f567-4a84-9121-4f0ed61ae733 tc0_d1b5e845-cbe2-42b4-9606-8ad71cb14901 tc0_4e13891d-054f-494a-9517-c56b38632fef tc0_05b24023-a435-4e1a-bf7d-680c5a0174ba tc0_ba52d76e-e6dc-41ff-8207-64c7d9d88b3b,,
G00017,HOME01,could you set the lights to the movie scene when I double-press the button?,버튼이 연속 두 번 눌리면 조명 영화 모드로 해 줄 수 있어?,trigger,button,light.scene,Button,Light,none,execute,D4,T1,set,1,none,,HOME01_Room_Light_1 HOME01_Room_Light_2,,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""Button.Button == \""double\"""", ""edge"": ""rising""}, {""op"": ""call"", ""target"": ""Light.MoveToBrightness"", ""args"": {""Brightness"": 20.0, ""Rate"": 0.0}}, {""op"": ""call"", ""target"": ""Light.MoveToColorTemperature"", ""args"": {""ColorTemperature"": 2700}}]}"
G00018,HOME08,Run the away scene on the lights when the scene button is pressed,씬 버튼이 눌리면 조명 외출 모드 실행해,trigger,button,light.scene,Button,Light,none,execute,D4,T1,set,1,none,,HOME08_LivingRoom_Light_1 HOME08_LivingRoom_Light_2 HOME08_Bedroom_Light_1 HOME08_Kitchen_Light_1,,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""Button.Button == \""pushed\"""", ""edge"": ""rising""}, {""op"": ""call"", ""target"": ""Switch.Off"", ""args"": {}}]}"
G00019,HOME16,"With a single press of the button, set the mood for a movie",버튼을 한 번 누르면 영화 볼 분위기로 맞춰 줘,trigger,button,light.scene,Button,Light,vague,execute,D4,T1,set,1,none,,HOME16_Bedroom_Light_1 HOME16_Garden_Light_1 HOME16_LivingRoom_Light_1 HOME16_LivingRoom_Light_2,,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""Button.Button == \""pushed\"""", ""edge"": ""rising""}, {""op"": ""call"", ""target"": ""Light.MoveToBrightness"", ""args"": {""Brightness"": 20.0, ""Rate"": 0.0}}, {""op"": ""call"", ""target"": ""Light.MoveToColorTemperature"", ""args"": {""ColorTemperature"": 2700}}]}"
