id,space_id,command,command_ko,context,expect,why_type,why,category
1,OFFICE03,could you get the light on?,조명 켜줘.,화자 위치: 2번 회의실,agent,,,기기 제어
2,OFFICE04,Give me some light to read by,책 읽기 좋게 조명 켜줘.,,ask,위치애매,어느 공간 조명인지 애매 (읽는 자리 불명),기기 제어
3,OFFICE01,can you turn on the open space lights?,사무실 조명 켜줄래?,,agent,,,기기 제어
4,OFFICE06,please light up the open space lights.,사무실 조명 좀 켜줘.,,agent,,,기기 제어
5,OFFICE03,Light up the meeting room 2 light.,회의실 2 조명 켜.,,agent,,,기기 제어
6,OFFICE05,could you get the open space lights on?,사무실 조명 켜줄 수 있어?,,agent,,,기기 제어
7,OFFICE01,Give me some light to read by.,책 읽기 좋게 조명 켜줘.,화자 위치: 회의실,agent,,,기기 제어
8,OFFICE02,I'd like you to get the row 2 light on.,2열 조명 켜줘.,,agent,,,기기 제어
9,OFFICE06,I'd like you to turn on the meeting room lights.,회의실 조명 켜줘.,,agent,,,기기 제어
10,OFFICE05,I'd like you to brighten this place up.,여기 좀 밝게 해줘.,화자 위치: 1층 사무 공간,agent,,,기기 제어
11,OFFICE05,please get the meeting room lights on.,회의실 조명 좀 켜줘.,,ask,위치애매,회의실이 1층·2층에 있어 어느 곳인지 애매,기기 제어
12,OFFICE03,can you turn on the meeting room 4 light?,회의실 4 조명 켜줄래?,,agent,,,기기 제어
13,OFFICE04,please put the row 2 light on.,2열 조명 좀 켜줘.,,agent,,,기기 제어
14,OFFICE05,I cannot see anything.,아무것도 안 보여.,화자 위치: 2층 복도,agent,,,기기 제어
15,OFFICE01,Put the open space lights on.,사무실 조명 켜.,,agent,,,기기 제어
16,OFFICE01,Brighten this place up,여기 좀 밝게 해줘.,,ask,위치애매,어느 공간인지 애매,기기 제어
17,OFFICE02,Light up the row 4 light,4열 조명 켜.,,agent,,,기기 제어
18,OFFICE05,could you bring the light down to 10 percent?,조명 밝기 10퍼센트로 낮춰줘.,,ask,위치애매,어느 공간 조명인지 애매,기기 제어
19,OFFICE02,I'd like you to put the light on.,조명 켜줘.,화자 위치: 3열,agent,,,기기 제어
20,OFFICE04,please switch the rest room lights on.,화장실 조명 켜주세요.,,agent,,,기기 제어
21,OFFICE01,Bring the open space lights down to 15 percent.,사무실 조명 밝기 15퍼센트로 낮춰.,,agent,,,기기 제어
22,OFFICE05,Dim the meeting room lights to 10 percent.,회의실 조명 밝기를 10퍼센트로 낮춰.,화자 위치: 1층 회의실,agent,,,기기 제어
23,OFFICE06,Turn on the open space lights,사무실 조명 켜.,,agent,,,기기 제어
24,OFFICE06,Turn the meeting room lights up to 80 percent,회의실 조명 밝기 80퍼센트로 올려.,,agent,,,기기 제어
25,OFFICE03,could you make it dimmer?,좀 더 어둡게 해줄래?,,ask,위치애매,어느 공간인지 애매,기기 제어
26,OFFICE01,I'd like you to set the mood softer.,분위기 좀 부드럽게 해줘.,,ask,동작애매,"밝기인지 색인지, 어느 공간인지 애매",기기 제어
27,OFFICE04,I'd like you to put the open space lights on.,사무실 조명 켜줘.,,agent,,,기기 제어
28,OFFICE02,please light up the meeting room lights.,회의실 조명 좀 켜줘.,,agent,,,기기 제어
29,OFFICE02,This is harsh on the eyes.,눈이 부셔.,화자 위치: 2번 회의실,agent,,,기기 제어
30,OFFICE03,Bring the open space lights down to 5 percent.,사무실 조명 밝기 5퍼센트로 낮춰.,,agent,,,기기 제어
31,OFFICE05,please set the meeting room lights brightness to 70 percent.,회의실 조명 밝기를 70퍼센트로 좀 맞춰줘.,,ask,위치애매,회의실이 1층·2층에 있어 어느 곳인지 애매,기기 제어
32,OFFICE01,could you bring the meeting room lights down to 25 percent?,회의실 조명 밝기 25퍼센트로 낮춰줘.,,agent,,,기기 제어
33,OFFICE05,can you change the light to red?,조명 빨간색으로 바꿔줄래?,,ask,위치애매,어느 공간 조명인지 애매,기기 제어
34,OFFICE06,I'd like you to change the light to red.,조명 빨간색으로 바꿔줘.,화자 위치: 사무 공간,agent,,,기기 제어
35,OFFICE02,please get the lights on.,조명 전부 좀 켜줘.,,agent,,,기기 제어
36,OFFICE03,I'd like you to change the lights to daylight white.,조명 전부 주광색으로 바꿔줘.,,agent,,,기기 제어
37,OFFICE06,please turn on the lights.,조명 전부 좀 켜줘.,,agent,,,기기 제어
38,OFFICE03,Change the lights to green.,조명 전부 초록색으로 바꿔.,,agent,,,기기 제어
39,OFFICE04,Put the lights on,조명 전부 켜.,,agent,,,기기 제어
40,OFFICE01,could you change the lights to pink?,조명 전부 분홍색으로 바꿔줄 수 있어?,,agent,,,기기 제어
41,OFFICE04,I'd like you to turn the lights pink.,조명 전부 분홍색으로 켜줘.,,agent,,,기기 제어
42,OFFICE05,could you make it feel warmer in here?,여기 분위기 좀 따뜻하게 해줄래?,,ask,위치애매,어디 분위기를 바꿀지 애매,기기 제어
43,OFFICE04,please turn the lights blue.,조명 전부 파란색으로 켜주세요.,,agent,,,기기 제어
44,OFFICE06,Turn on the lights,조명 전부 켜.,,agent,,,기기 제어
45,OFFICE03,can you set the lights to blue?,조명 전부 파란색으로 바꿔줄래?,,agent,,,기기 제어
46,OFFICE06,I'd like you to set all the lights to warm white.,모든 조명 전구색으로 바꿔줘.,,agent,,,기기 제어
47,OFFICE03,please set the lights to green.,조명 전부 초록색으로 좀 바꿔줘.,,agent,,,기기 제어
48,OFFICE03,Make all the lights red,모든 조명 빨간색으로 해.,,agent,,,기기 제어
49,OFFICE03,I'd like you to turn all the lights blue.,모든 조명 파란색으로 켜줘.,,agent,,,기기 제어
50,OFFICE04,could you set the lights to purple?,조명 전부 보라색으로 바꿔줘.,,agent,,,기기 제어
51,OFFICE03,I'd like you to make it feel warmer in here.,여기 분위기 좀 따뜻하게 해줘.,화자 위치: 2번 회의실,agent,,,기기 제어
52,OFFICE03,could you change the lights to warm white?,조명 전부 전구색으로 바꿔줄 수 있어?,,agent,,,기기 제어
53,OFFICE01,can you switch all the lights on?,모든 조명 켜줄래?,,agent,,,기기 제어
54,OFFICE06,please turn off the open space switch.,사무실 스위치 꺼주세요.,,agent,,,기기 제어
55,OFFICE03,Switch the meeting room 4 light on.,회의실 4 조명 켜.,,agent,,,기기 제어
56,OFFICE04,Turn off the row 3 light,3열 조명 꺼.,,agent,,,기기 제어
57,OFFICE05,could you turn on the meeting room lights?,회의실 조명 켜줄래?,화자 위치: 2층 회의실,agent,,,기기 제어
58,OFFICE02,I'd like you to turn off the row 5 light.,5열 조명 꺼줘.,,agent,,,기기 제어
59,OFFICE06,I'd like you to switch the meeting room switch on.,회의실 스위치 켜줘.,,agent,,,기기 제어
60,OFFICE01,Send me the open space temperature.,사무실 온도 알려줘.,,agent,,,상태 조회
61,OFFICE03,can you tell me whether any switch is on?,켜져 있는 스위치가 있는지 알려줄래?,,agent,,,상태 조회
62,OFFICE03,Tell me if something is off.,뭔가 이상하면 알려줘.,,ask,동작애매,무엇을 이상으로 볼지 애매,자동화 만들기
63,OFFICE05,How much power is the utility room using?,전기실 전력 얼마나 쓰고 있어?,,agent,,,상태 조회
64,OFFICE02,could you remind me to check the switch?,스위치 확인하라고 알려줘.,,agent,,,알림 보내기
65,OFFICE04,Send me the pantry temperature,팬트리 온도 알려줘.,,refuse,감지불가,팬트리에 온도 센서 없음,상태 조회
66,OFFICE04,Let me know if the fan is still on,선풍기 아직 켜져 있으면 알려줘.,,execute,,,자동화 만들기
67,OFFICE06,Send me the meeting room temperature,회의실 온도 알려줘.,,refuse,감지불가,회의실에 온도 센서 없음,상태 조회
68,OFFICE02,please text me the humidity in the hallway.,복도 습도 문자로 보내주세요.,,refuse,보낼수단없음,복도에 습도 센서가 없고 문자 보낼 기기도 없음,알림 보내기
69,OFFICE01,could you tell me the pantry temperature?,팬트리 온도 알려줄 수 있어?,,refuse,감지불가,팬트리에 온도 센서 없음,상태 조회
70,OFFICE04,could you tell me if something is off?,뭔가 이상하면 알려줄래?,,ask,동작애매,무엇을 이상으로 볼지 애매,자동화 만들기
71,OFFICE05,could you lower the blind to 20 percent?,블라인드 20퍼센트까지 내려줄 수 있어?,,agent,,,기기 제어
72,OFFICE05,could you pull the blinds shut?,블라인드 전부 닫아줘.,,agent,,,기기 제어
73,OFFICE02,Lower the blinds to 80 percent.,블라인드 전부 80퍼센트까지 내려.,,agent,,,기기 제어
74,OFFICE01,The sun is too strong.,햇빛이 너무 강해.,,agent,,,기기 제어
75,OFFICE02,can you close all the blinds?,모든 블라인드 닫아줄래?,,agent,,,기기 제어
76,OFFICE05,can you lower all the blinds to 10 percent?,모든 블라인드 10퍼센트까지 내려줄래?,,agent,,,기기 제어
77,OFFICE05,could you block the sun?,햇빛 좀 막아줄 수 있어?,화자 위치: 1층 사무 공간,agent,,,기기 제어
78,OFFICE02,Lower the blinds to 10 percent.,블라인드 전부 10퍼센트까지 내려.,,agent,,,기기 제어
79,OFFICE02,could you unlock the door lock?,도어락 열어줄래?,,ask,확인필요,문을 여는 동작이라 확인 필요,기기 제어
80,OFFICE05,Make sure the door lock is locked,도어락 잠겼는지 봐줘.,,agent,,,상태 조회
81,OFFICE02,Lock the door lock.,도어락 잠가줘.,,agent,,,기기 제어
82,OFFICE04,could you lock things up?,다 잠가줄래?,,agent,,,기기 제어
83,OFFICE06,please make sure the entrance door lock is locked.,현관 도어락 좀 잠겼는지 봐줘.,,agent,,,상태 조회
84,OFFICE06,Unlock the entrance door lock,현관 도어락 열어줘.,,ask,확인필요,문을 여는 동작이라 확인 필요,기기 제어
85,OFFICE04,Unlock the door lock.,도어락 열어줘.,,ask,확인필요,문을 여는 동작이라 확인 필요,기기 제어
86,OFFICE05,could you make sure the entrance door lock is locked?,현관 도어락 잠겼는지 봐줄 수 있어?,,agent,,,상태 조회
87,OFFICE04,Make sure the entrance door lock is locked.,현관 도어락 잠겼는지 봐줘.,,agent,,,상태 조회
