index,index_old,category,category_v2,command_kor,command_eng,ir_gt,connected_devices,notes
1,1.0,1.0,C01,식기세척기를 건조 모드로 설정해줘.,Switch the dishwasher to dry mode.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Dishwasher.SetDishwasherMode"", ""args"": {""Mode"": ""dry""}}]}","{""Kitchen_Dishwasher"": {""category"": [""Dishwasher""], ""tags"": [""Kitchen"", ""Dishwasher""]}, ""Utility_Dishwasher"": {""category"": [""Dishwasher""], ""tags"": [""Utility"", ""Dishwasher""]}}",ok
2,2.0,1.0,C01,오븐의 작동 시간을 5분 늘려줘.,Add 5 minutes to the oven.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Oven.AddMoreTime"", ""args"": {""Time"": 300.0}}]}","{""Kitchen_Oven"": {""category"": [""Oven""], ""tags"": [""Kitchen"", ""Oven""]}, ""Bakery_Oven"": {""category"": [""Oven""], ""tags"": [""Bakery"", ""Oven""]}}",ok
3,3.0,1.0,C01,밥솥을 조리 모드로 30분 작동시켜.,Start the rice cooker on cooking mode for 30 minutes.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""RiceCooker.SetCookingParameters"", ""args"": {""Mode"": ""cooking"", ""Time"": 1800.0}}]}","{""Kitchen_RiceCooker"": {""category"": [""RiceCooker""], ""tags"": [""Kitchen"", ""RiceCooker""]}, ""Pantry_RiceCooker"": {""category"": [""RiceCooker""], ""tags"": [""Pantry"", ""RiceCooker""]}}",ok
4,4.0,1.0,C01,사이렌을 응급모드로 울려줘.,Set the siren to emergency mode.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Siren.SetSirenMode"", ""args"": {""Mode"": ""emergency""}}]}","{""Main_Siren"": {""category"": [""Siren"", ""Switch""], ""tags"": [""Main"", ""Siren"", ""Switch""]}, ""Garage_Siren"": {""category"": [""Siren"", ""Switch""], ""tags"": [""Garage"", ""Siren"", ""Switch""]}}",ok
5,5.0,1.0,C01,스피커의 볼륨을 30으로 설정해줘.,Set the speaker volume to 30.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Speaker.SetVolume"", ""args"": {""Volume"": 30}}]}","{""LivingRoom_Speaker"": {""category"": [""Speaker""], ""tags"": [""LivingRoom"", ""Speaker""]}, ""Bedroom_Speaker"": {""category"": [""Speaker""], ""tags"": [""Bedroom"", ""Speaker""]}}",ok
1,1.0,4.0,C08,멀티버튼의 버튼1이 눌리면 침실 조명을 모두 켜줘.,"When button 1 of the multi-button is pressed, turn on all lights in the bedroom.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""MultiButton.Button1 == \""pushed\"""", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Light.MoveToBrightness"", ""args"": {""Brightness"": 100.0, ""Rate"": 0.0}}]}","{""Bedroom_MB"": {""category"": [""MultiButton""], ""tags"": [""Bedroom"", ""MultiButton""]}, ""LR_MB"": {""category"": [""MultiButton""], ""tags"": [""LivingRoom"", ""MultiButton""]}, ""Bedroom_Light_1"": {""category"": [""Light""], ""tags"": [""Bedroom"", ""Light""]}, ""Bedroom_Light_2"": {""category"": [""Light""], ""tags"": [""Bedroom"", ""Light""]}, ""LR_Light"": {""category"": [""Light""], ""tags"": [""LivingRoom"", ""Light""]}}",multibutton_light
1,2.0,2.0,C02,카메라로 회의실 사진을 촬영해줘.,Capture an image of the meeting room with the camera.,"{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""call"", ""target"": ""Camera.CaptureImage"", ""args"": {}}]}","{""MeetingRoom_Camera"": {""category"": [""Camera""], ""tags"": [""MeetingRoom"", ""Camera""]}, ""Hallway_Camera"": {""category"": [""Camera""], ""tags"": [""Hallway"", ""Camera""]}}",ok
2,3.0,4.0,C08,멀티버튼의 버튼2가 눌리면 침실 조명을 모두 꺼줘.,"When button 2 of the multi-button is pressed, turn off all lights in the bedroom.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""MultiButton.Button2 == \""pushed\"""", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Light.MoveToBrightness"", ""args"": {""Brightness"": 0.0, ""Rate"": 0.0}}]}","{""Bedroom_MB"": {""category"": [""MultiButton""], ""tags"": [""Bedroom"", ""MultiButton""]}, ""Hall_MB"": {""category"": [""MultiButton""], ""tags"": [""Hallway"", ""MultiButton""]}, ""Bedroom_Light_1"": {""category"": [""Light""], ""tags"": [""Bedroom"", ""Light""]}, ""Bedroom_Light_2"": {""category"": [""Light""], ""tags"": [""Bedroom"", ""Light""]}, ""Hall_Light"": {""category"": [""Light""], ""tags"": [""Hallway"", ""Light""]}}",multibutton_light
1,1.0,4.0,C07,접촉 센서가 감지되면 조명을 켜줘.,"When the contact sensor is detected, turn on the light.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""ContactSensor.Contact == true"", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Light.MoveToBrightness"", ""args"": {""Brightness"": 100.0, ""Rate"": 0.0}}]}","{""Entrance_Contact"": {""category"": [""ContactSensor""], ""tags"": [""Entrance"", ""ContactSensor""]}, ""LivingRoom_Light"": {""category"": [""Light"", ""Switch"", ""ColorControl"", ""LevelControl""], ""tags"": [""LivingRoom"", ""Light"", ""Switch""]}, ""Kitchen_Light"": {""category"": [""Light"", ""Switch"", ""ColorControl"", ""LevelControl""], ""tags"": [""Kitchen"", ""Light"", ""Switch""]}}",Switch.On preferred for Light (Switch implemented by Light).
2,2.0,4.0,C07,재실 센서가 감지되면 TV를 켜줘.,"When the presence sensor detects someone, turn on the TV.","{""timeline"": [{""op"": ""start_at"", ""anchor"": ""now""}, {""op"": ""wait"", ""cond"": ""PresenceSensor.Presence == true"", ""edge"": ""none""}, {""op"": ""call"", ""target"": ""Switch.On"", ""args"": {}}]}","{""LivingRoom_Presence"": {""category"": [""PresenceSensor""], ""tags"": [""LivingRoom"", ""PresenceSensor""]}, ""LivingRoom_TV"": {""category"": [""Television"", ""Switch""], ""tags"": [""LivingRoom"", ""Television"", ""Switch""]}, ""Bedroom_TV"": {""category"": [""Television"", ""Switch""], ""tags"": [""Bedroom"", ""Television"", ""Switch""]}}",ok
