id,source_stratum,timelines,total_operators,operator_types,control_depth,cycle_depth,operator_types_without_start_call,start_at,call,wait,delay,read,if,cycle,break,timer,let,request,ir_source
E1-001,official,1,10,5,2,2,3,1,3,3,0,0,0,2,1,0,0,"description: ""Turn on a light when motion is detected."" / no_motion_wait: ""Time to leave the light on after last motion is detected."" / mode: restart / actions: light.turn_on -> wait_for_trigger(motion on->off) -> delay(no_motion_wait) -> light.turn_off",irs.py (seed IR; not embedded in execution result)
E1-002,research,1,7,5,1,1,3,1,2,2,1,0,0,1,0,0,0,Turn on fan for 15 minutes when CO₂>1000ppm,irs.py (seed IR; not embedded in execution result)
E1-003,research,1,4,3,0,0,1,1,2,0,1,0,0,0,0,0,0,At noon turn your fan on for 15 minutes,irs.py (seed IR; not embedded in execution result)
E1-004,community,1,6,4,2,2,2,1,1,2,0,0,0,2,0,0,0,set notification if door is left open for 2 minutes and if not closed after that it should send notifications each minute,irs.py (seed IR; not embedded in execution result)
E1-005,community,1,11,5,2,2,3,1,3,3,0,2,0,2,0,0,0,"trigger: ""garage door is left open after 22:00 for more than 10 minutes""; ""Blink the kitchen lights by dimming up and down 10 times in quick succession""; ""pause for 5 minutes""; ""Repeat the cycle up to 7 times""; ""If at any point during the blinking cycles, the garage door is closed, stop the automation immediately""; ""Ensure the kitchen lights return to their original state ... after the automation ends or during the pauses""",irs.py (seed IR; not embedded in execution result)
E1-006,elicited,1,5,4,1,1,2,1,1,2,0,0,0,1,0,0,0,My smart door lock should always lock after I come in.,irs.py (seed IR; not embedded in execution result)
E1-007,research,1,10,5,2,1,3,1,2,0,0,4,2,1,0,0,0,"""IF Roomba becomes on WHILE the curtain is open, THEN close the curtain; IF curtain becomes open WHILE Roomba is on, THEN turn off Roomba"" (property: ""Roomba is on should NEVER be active WHILE curtain is open"")",irs.py (seed IR; not embedded in execution result)
E1-008,research,1,7,5,2,1,3,1,2,2,0,0,1,1,0,0,0,"When I get up at night, I would want my lights to turn on and off as I enter and exit the room.",irs.py (seed IR; not embedded in execution result)
E1-009,research,1,3,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"If it is 10:00pm and my bedroom door is closed and the lights are off, turn the television off.",irs.py (seed IR; not embedded in execution result)
E1-010,research,1,7,6,2,1,4,1,2,1,1,0,1,1,0,0,0,"If the doorbell rings and the time is 3:00 pm, then unlock the front door for 10 seconds",irs.py (seed IR; not embedded in execution result)
E1-011,research,1,5,4,1,0,2,1,1,2,0,0,1,0,0,0,0,"Your work starts at 9:00 am. On days when you get to work on time, you want to send an email to yourself saying ""I got to work on time!""",irs.py (seed IR; not embedded in execution result)
E1-012,research,1,8,6,3,1,4,1,1,2,0,1,2,1,0,0,0,IF Sally enters the bedroom AND AFTERWARDS the sun sets WITHIN 2 hours THEN turn on the bedroom lights.,irs.py (seed IR; not embedded in execution result)
E1-013,elicited,1,5,4,1,1,2,1,1,2,0,0,0,1,0,0,0,the smart stove should automatically shut off if it detects no pot or anything for more than 5 minutes,breadth/remaining72/batch_er/runs/results.json
E1-014,elicited,1,5,4,1,1,2,1,1,2,0,0,0,1,0,0,0,the refridgerator should alarm if the door is open for longer than 5 minutes,breadth/remaining72/batch_er/runs/results.json
E1-016,elicited,1,7,6,2,1,4,1,1,1,0,2,1,1,0,0,0,My smart vacuum should always return to its base to charge when low on power.,breadth/remaining72/batch_er/runs/results.json
E1-019,elicited,1,7,6,2,1,4,1,1,1,0,2,1,1,0,0,0,Pause dishwasher if other devices need hot water.,breadth/remaining72/batch_er/runs/results.json
E1-020,elicited,1,15,6,3,1,4,1,2,5,0,4,2,1,0,0,0,Never run the washing machine and the dish washer at the same time.,breadth/remaining72/batch_er/runs/results.json
E1-021,elicited,1,7,5,1,1,3,1,2,2,0,0,1,1,0,0,0,Start to mow the lawn at 8 am once a week.,breadth/remaining72/batch_er/runs/results.json
E1-022,elicited,1,7,5,1,1,3,1,2,2,0,0,1,1,0,0,0,Give the pets their food at 6am every day and at 6pm.,breadth/remaining72/batch_er/runs/results.json
E1-023,elicited,1,11,6,2,1,4,1,1,1,0,5,2,1,0,0,0,smart sprinkler should never activate when it has recently rained,breadth/remaining72/batch_er/runs/results.json
E1-024,elicited,1,7803,7,3,2,5,1,1200,600,600,3601,1200,601,0,0,0,My smart sprinkler should never be on more than 10 minutes every 2 days.,breadth/remaining72/e1_024_rolling/timeline_ir.json
E1-025,elicited,1,7,6,2,1,4,1,1,1,0,2,1,1,0,0,0,Never test the CO detector after 10 PM,breadth/remaining72/batch_er/runs/results.json
E1-026,elicited,1,9,6,2,1,4,1,1,1,0,4,1,1,0,0,0,A smart light should only come on when it is a certain brightness in the room or a user activates it manually.,breadth/remaining72/batch_er/runs/results.json
E1-028,elicited,1,10,7,3,2,5,1,1,1,0,2,2,2,1,0,0,My smart pet feeder should never allow to dispense more than 2 bowls of food per every 4 hours.,breadth/depth/runs/e1_depth_v2.json
E1-029,elicited,1,5,4,1,1,2,1,1,2,0,0,0,1,0,0,0,the lock should lock 10 seconds after you close the door,breadth/remaining72/batch_er/runs/results.json
E1-030,elicited,1,5,4,1,1,2,1,1,2,0,0,0,1,0,0,0,Smart tv should always turn off when idle for 1 hour.,breadth/remaining72/batch_er/runs/results.json
E1-031,elicited,1,27,7,4,3,5,1,1,6,0,3,6,3,7,0,0,The Smart TV in the children's room should never turn on whenever the toothbrush has not been used at least twice that day,breadth/remaining72/batch_er/runs/results.json
E1-032,elicited,1,7,6,2,1,4,1,1,1,0,2,1,1,0,0,0,My smart window should never be opened while the AC is on.,breadth/remaining72/batch_er/runs/results.json
E1-033,elicited,1,11,6,2,1,4,1,2,1,0,4,2,1,0,0,0,My smart garage door should always be opened on weekdays from 5pm to 6pm.,breadth/remaining72/batch_er/runs/results.json
E1-034,elicited,1,6,4,1,1,2,1,2,2,0,0,0,1,0,0,0,"My smart oven should never be on for than 4 hours, maximum without alerting if more time is needed, and shutting off if not responded to.",breadth/depth/runs/e1_depth_v2.json
E1-035,elicited,1,5,4,1,1,2,1,1,2,0,0,0,1,0,0,0,My smart TV should turn off whenever it has been empty of people for more than 10 minutes.,breadth/remaining72/batch_er/runs/results.json
