id,domain,space_id,intent,command,command_ko,expect,why,d,tier,context,targets,target_svc
G00015,사무실,OFFICE03,기기제어,could you get the light on?,조명 켜 줄 수 있어?,ask,,D1,T0,none,OFFICE03_MeetingRoom_Light_1 OFFICE03_MeetingRoom_Light_2 OFFICE03_MeetingRoom_Light_3 OFFICE03_MeetingRoom_Light_4 OFFICE03_OpenSpace_Light_1 OFFICE03_OpenSpace_Light_2 OFFICE03_OpenSpace_Light_3,
G00026,사무실,OFFICE04,기기제어,Give me some light to read by,책 읽을 만큼 불 좀 줘,execute,,D1,T0,none,OFFICE04_OpenSpace_Light_1 OFFICE04_OpenSpace_Light_2 OFFICE04_OpenSpace_Light_3 OFFICE04_OpenSpace_Light_4 OFFICE04_OpenSpace_Light_5 OFFICE04_OpenSpace_Light_6 OFFICE04_Pantry_Light_1 OFFICE04_RestRoom_Light_1,
G00031,사무실,OFFICE01,기기제어,can you turn on the open space lights?,사무실 조명 켜 줄래?,execute,,D1,T0,none,OFFICE01_OpenSpace_Light_1 OFFICE01_OpenSpace_Light_2 OFFICE01_OpenSpace_Light_3 OFFICE01_OpenSpace_Light_4,
G00041,사무실,OFFICE06,기기제어,please light up the open space lights.,사무실 조명 좀 켜 줘.,execute,,D1,T0,none,OFFICE06_OpenSpace_Light_1 OFFICE06_OpenSpace_Light_2 OFFICE06_OpenSpace_Light_3,
G00046,사무실,OFFICE03,기기제어,Light up the meeting room 2 light.,회의실 2 조명 켜.,execute,,D1,T0,none,OFFICE03_MeetingRoom_Light_2,
G00060,사무실,OFFICE05,기기제어,could you get the open space lights on?,사무실 조명 켜 줄 수 있어?,execute,,D1,T0,none,OFFICE05_OpenSpace_Light_1 OFFICE05_OpenSpace_Light_2 OFFICE05_OpenSpace_Light_3 OFFICE05_OpenSpace_Light_4 OFFICE05_OpenSpace_Light_5 OFFICE05_OpenSpace_Light_6 OFFICE05_OpenSpace_Light_7 OFFICE05_OpenSpace_Light_8 OFFICE05_OpenSpace_Light_9 OFFICE05_OpenSpace_Light_10 OFFICE05_OpenSpace_Light_11 OFFICE05_OpenSpace_Light_12 OFFICE05_OpenSpace_Light_13 OFFICE05_OpenSpace_Light_14 OFFICE05_OpenSpace_Light_15 OFFICE05_OpenSpace_Light_16,
G00063,사무실,OFFICE01,기기제어,Give me some light to read by.,책 읽을 만큼 불 좀 줘.,ask,,D1,T0,none,OFFICE01_MeetingRoom_Light_1 OFFICE01_OpenSpace_Light_1 OFFICE01_OpenSpace_Light_2 OFFICE01_OpenSpace_Light_3 OFFICE01_OpenSpace_Light_4 OFFICE01_OpenSpace_WindowCovering_1 OFFICE01_OpenSpace_WindowCovering_2 OFFICE01_Pantry_Light_1,
G00065,사무실,OFFICE02,기기제어,I'd like you to get the zone 2 light on.,구역 2 조명 켜 줬으면 해.,execute,,D1,T0,none,OFFICE02_OpenSpace_Light_2,
G00071,사무실,OFFICE06,기기제어,I'd like you to turn on the meeting room lights.,회의실 조명 켜 줬으면 해.,execute,,D1,T0,none,OFFICE06_MeetingRoom_Light_1,
G00072,사무실,OFFICE05,기기제어,I'd like you to brighten this place up.,여기 좀 밝게 해 줬으면 해.,ask,,D1,T0,none,OFFICE05_Hallway_Light_1 OFFICE05_Hallway_Light_2 OFFICE05_Hallway_Light_3 OFFICE05_Hallway_Light_4 OFFICE05_MeetingRoom_Light_1 OFFICE05_MeetingRoom_Light_2 OFFICE05_MeetingRoom_Light_3 OFFICE05_MeetingRoom_Light_4 OFFICE05_MeetingRoom_Projector_1 OFFICE05_MeetingRoom_Projector_2 OFFICE05_OpenSpace_Light_1 OFFICE05_OpenSpace_Light_10 OFFICE05_OpenSpace_Light_11 OFFICE05_OpenSpace_Light_12 OFFICE05_OpenSpace_Light_13 OFFICE05_OpenSpace_Light_14 OFFICE05_OpenSpace_Light_15 OFFICE05_OpenSpace_Light_16 OFFICE05_OpenSpace_Light_2 OFFICE05_OpenSpace_Light_3 OFFICE05_OpenSpace_Light_4 OFFICE05_OpenSpace_Light_5 OFFICE05_OpenSpace_Light_6 OFFICE05_OpenSpace_Light_7 OFFICE05_OpenSpace_Light_8 OFFICE05_OpenSpace_Light_9 OFFICE05_OpenSpace_WindowCovering_1 OFFICE05_OpenSpace_WindowCovering_2 OFFICE05_OpenSpace_WindowCovering_3 OFFICE05_OpenSpace_WindowCovering_4 OFFICE05_OpenSpace_WindowCovering_5 OFFICE05_OpenSpace_WindowCovering_6 OFFICE05_OpenSpace_WindowCovering_7 OFFICE05_OpenSpace_WindowCovering_8,
G00075,사무실,OFFICE05,기기제어,please get the meeting room lights on.,회의실 조명 좀 켜 줘.,execute,,D1,T0,none,OFFICE05_MeetingRoom_Light_1 OFFICE05_MeetingRoom_Light_2 OFFICE05_MeetingRoom_Light_3 OFFICE05_MeetingRoom_Light_4,
G00076,사무실,OFFICE03,기기제어,can you turn on the meeting room 4 light?,회의실 4 조명 켜 줄래?,execute,,D1,T0,none,OFFICE03_MeetingRoom_Light_4,
G00080,사무실,OFFICE04,기기제어,please put the row 2 light on.,2열 조명 좀 켜 줘.,execute,,D1,T0,none,OFFICE04_OpenSpace_Light_2,
G00082,사무실,OFFICE05,기기제어,I cannot see anything.,아무것도 안 보여.,ask,,D1,T0,none,OFFICE05_Hallway_Light_1 OFFICE05_Hallway_Light_2 OFFICE05_Hallway_Light_3 OFFICE05_Hallway_Light_4 OFFICE05_MeetingRoom_Light_1 OFFICE05_MeetingRoom_Light_2 OFFICE05_MeetingRoom_Light_3 OFFICE05_MeetingRoom_Light_4 OFFICE05_MeetingRoom_Projector_1 OFFICE05_MeetingRoom_Projector_2 OFFICE05_OpenSpace_Light_1 OFFICE05_OpenSpace_Light_10 OFFICE05_OpenSpace_Light_11 OFFICE05_OpenSpace_Light_12 OFFICE05_OpenSpace_Light_13 OFFICE05_OpenSpace_Light_14 OFFICE05_OpenSpace_Light_15 OFFICE05_OpenSpace_Light_16 OFFICE05_OpenSpace_Light_2 OFFICE05_OpenSpace_Light_3 OFFICE05_OpenSpace_Light_4 OFFICE05_OpenSpace_Light_5 OFFICE05_OpenSpace_Light_6 OFFICE05_OpenSpace_Light_7 OFFICE05_OpenSpace_Light_8 OFFICE05_OpenSpace_Light_9 OFFICE05_OpenSpace_WindowCovering_1 OFFICE05_OpenSpace_WindowCovering_2 OFFICE05_OpenSpace_WindowCovering_3 OFFICE05_OpenSpace_WindowCovering_4 OFFICE05_OpenSpace_WindowCovering_5 OFFICE05_OpenSpace_WindowCovering_6 OFFICE05_OpenSpace_WindowCovering_7 OFFICE05_OpenSpace_WindowCovering_8,
G00083,사무실,OFFICE01,기기제어,can you switch the open space lights on?,사무실 조명 켜 줄래?,execute,,D1,T0,none,OFFICE01_OpenSpace_Light_1 OFFICE01_OpenSpace_Light_2 OFFICE01_OpenSpace_Light_3 OFFICE01_OpenSpace_Light_4,
G00085,사무실,OFFICE01,기기제어,Put the open space lights on.,사무실 조명 켜.,execute,,D1,T0,none,OFFICE01_OpenSpace_Light_1 OFFICE01_OpenSpace_Light_2 OFFICE01_OpenSpace_Light_3 OFFICE01_OpenSpace_Light_4,
G00091,사무실,OFFICE01,기기제어,Brighten this place up,여기 좀 밝게 해 줘,ask,,D1,T0,none,OFFICE01_MeetingRoom_Light_1 OFFICE01_OpenSpace_Light_1 OFFICE01_OpenSpace_Light_2 OFFICE01_OpenSpace_Light_3 OFFICE01_OpenSpace_Light_4 OFFICE01_OpenSpace_WindowCovering_1 OFFICE01_OpenSpace_WindowCovering_2 OFFICE01_Pantry_Light_1,
G00096,사무실,OFFICE02,기기제어,Light up the zone 4 light,구역 4 조명 켜,execute,,D1,T0,none,OFFICE02_OpenSpace_Light_4,
G00107,사무실,OFFICE05,기기제어,could you bring the light down to 10 percent?,조명 밝기를 10퍼센트까지 낮춰 줄 수 있어?,ask,,D1,T0,none,OFFICE05_OpenSpace_Light_1 OFFICE05_OpenSpace_Light_2 OFFICE05_OpenSpace_Light_3 OFFICE05_OpenSpace_Light_4 OFFICE05_OpenSpace_Light_5 OFFICE05_OpenSpace_Light_6 OFFICE05_OpenSpace_Light_7 OFFICE05_OpenSpace_Light_8 OFFICE05_OpenSpace_Light_9 OFFICE05_OpenSpace_Light_10 OFFICE05_OpenSpace_Light_11 OFFICE05_OpenSpace_Light_12 OFFICE05_OpenSpace_Light_13 OFFICE05_OpenSpace_Light_14 OFFICE05_OpenSpace_Light_15 OFFICE05_OpenSpace_Light_16 OFFICE05_MeetingRoom_Light_1 OFFICE05_MeetingRoom_Light_2 OFFICE05_MeetingRoom_Light_3 OFFICE05_MeetingRoom_Light_4 OFFICE05_Hallway_Light_1 OFFICE05_Hallway_Light_2 OFFICE05_Hallway_Light_3 OFFICE05_Hallway_Light_4,
G00112,사무실,OFFICE02,기기제어,I'd like you to put the light on.,조명 켜 줬으면 해.,ask,,D1,T0,none,OFFICE02_OpenSpace_Light_1 OFFICE02_OpenSpace_Light_2 OFFICE02_OpenSpace_Light_3 OFFICE02_OpenSpace_Light_4 OFFICE02_OpenSpace_Light_5 OFFICE02_OpenSpace_Light_6 OFFICE02_MeetingRoom_Light_1 OFFICE02_MeetingRoom_Light_2 OFFICE02_MeetingRoom_Light_3 OFFICE02_Pantry_Light_1 OFFICE02_Hallway_Light_1,
G00127,사무실,OFFICE04,기기제어,please switch the rest room lights on.,화장실 조명 켜 주세요.,execute,,D1,T0,none,OFFICE04_RestRoom_Light_1,
G00132,사무실,OFFICE01,기기제어,Bring the open space lights down to 15 percent.,사무실 조명 밝기를 15퍼센트까지 낮춰.,execute,,D1,T0,none,OFFICE01_OpenSpace_Light_1 OFFICE01_OpenSpace_Light_2 OFFICE01_OpenSpace_Light_3 OFFICE01_OpenSpace_Light_4,
G00138,사무실,OFFICE05,기기제어,Dim the meeting room lights to 10 percent.,회의실 조명 밝기를 10퍼센트로 낮춰.,execute,,D1,T0,none,OFFICE05_MeetingRoom_Light_1 OFFICE05_MeetingRoom_Light_2 OFFICE05_MeetingRoom_Light_3 OFFICE05_MeetingRoom_Light_4,
G00142,사무실,OFFICE06,기기제어,Turn on the open space lights,사무실 조명 켜,execute,,D1,T0,none,OFFICE06_OpenSpace_Light_1 OFFICE06_OpenSpace_Light_2 OFFICE06_OpenSpace_Light_3,
G00146,사무실,OFFICE06,기기제어,Turn the meeting room lights up to 80 percent,회의실 조명 밝기를 80퍼센트까지 올려,execute,,D1,T0,none,OFFICE06_MeetingRoom_Light_1,
G00147,사무실,OFFICE03,기기제어,could you make it dimmer?,좀 더 어둡게 해 줄 수 있어?,ask,,D1,T0,none,OFFICE03_MeetingRoom_Light_1 OFFICE03_MeetingRoom_Light_2 OFFICE03_MeetingRoom_Light_3 OFFICE03_MeetingRoom_Light_4 OFFICE03_MeetingRoom_Projector_1 OFFICE03_MeetingRoom_Projector_2 OFFICE03_OpenSpace_Light_1 OFFICE03_OpenSpace_Light_2 OFFICE03_OpenSpace_Light_3,
G00156,사무실,OFFICE01,기기제어,I'd like you to set the mood softer.,분위기 좀 부드럽게 해 줬으면 해.,ask,,D1,T0,none,OFFICE01_MeetingRoom_Light_1 OFFICE01_OpenSpace_Light_1 OFFICE01_OpenSpace_Light_2 OFFICE01_OpenSpace_Light_3 OFFICE01_OpenSpace_Light_4 OFFICE01_OpenSpace_WindowCovering_1 OFFICE01_OpenSpace_WindowCovering_2 OFFICE01_Pantry_Light_1,
G00158,사무실,OFFICE04,기기제어,I'd like you to put the open space lights on.,사무실 조명 켜 줬으면 해.,execute,,D1,T0,none,OFFICE04_OpenSpace_Light_1 OFFICE04_OpenSpace_Light_2 OFFICE04_OpenSpace_Light_3 OFFICE04_OpenSpace_Light_4 OFFICE04_OpenSpace_Light_5 OFFICE04_OpenSpace_Light_6,
G00166,사무실,OFFICE02,기기제어,please light up the meeting room lights.,회의실 조명 좀 켜 줘.,execute,,D1,T0,none,OFFICE02_MeetingRoom_Light_1 OFFICE02_MeetingRoom_Light_2 OFFICE02_MeetingRoom_Light_3,
G00172,사무실,OFFICE06,기기제어,please switch the open space lights on.,사무실 조명 좀 켜 줘.,execute,,D1,T0,none,OFFICE06_OpenSpace_Light_1 OFFICE06_OpenSpace_Light_2 OFFICE06_OpenSpace_Light_3,
G00174,사무실,OFFICE02,기기제어,This is harsh on the eyes.,눈이 부셔.,ask,,D1,T0,none,OFFICE02_Hallway_Light_1 OFFICE02_MeetingRoom_Light_1 OFFICE02_MeetingRoom_Light_2 OFFICE02_MeetingRoom_Light_3 OFFICE02_MeetingRoom_Projector_1 OFFICE02_OpenSpace_Light_1 OFFICE02_OpenSpace_Light_2 OFFICE02_OpenSpace_Light_3 OFFICE02_OpenSpace_Light_4 OFFICE02_OpenSpace_Light_5 OFFICE02_OpenSpace_Light_6 OFFICE02_OpenSpace_WindowCovering_1 OFFICE02_OpenSpace_WindowCovering_2 OFFICE02_OpenSpace_WindowCovering_3 OFFICE02_OpenSpace_WindowCovering_4 OFFICE02_Pantry_Light_1,
G00177,사무실,OFFICE03,기기제어,Bring the open space lights down to 5 percent.,사무실 조명 밝기를 5퍼센트까지 낮춰.,execute,,D1,T0,none,OFFICE03_OpenSpace_Light_1 OFFICE03_OpenSpace_Light_2 OFFICE03_OpenSpace_Light_3,
G00180,사무실,OFFICE05,기기제어,please set the meeting room lights brightness to 70 percent.,회의실 조명 밝기를 70퍼센트로 좀 맞춰 줘.,execute,,D1,T0,none,OFFICE05_MeetingRoom_Light_1 OFFICE05_MeetingRoom_Light_2 OFFICE05_MeetingRoom_Light_3 OFFICE05_MeetingRoom_Light_4,
