id	source_features	evaluation_extra_features	behavior_ko	interpretation_note
E1-001	A,Q,D,U,X		움직임에 조명을 켜고 무감지 지속 후 끄며 재감지 시 대기를 취소·재시작	공식 restart 모드와 무감지 대기를 원문에서 확인
E1-002	A,Q,D	X	CO₂ 임계값 초과에 팬을 켜고 15분 뒤 끔	실행 중 재트리거 무시는 확정 해석
E1-003	A,Q,D		정오에 팬을 켜고 15분 뒤 끔	일일 일정 자체는 반복 동작 태그로 세지 않음
E1-004	Q,D,U,R		문 열림 2분 지속 후 알림을 시작하고 열린 동안 매분 반복	조건이 끊기면 지속시간을 다시 세는 것은 U에 포함
E1-005	G,A,Q,D,U,R,H,X		야간 문 열림 지속 후 중첩 점멸·대기 반복, 문 닫힘 시 중단, 이전 밝기 복원	원문에 중첩 횟수와 복원 명시
E1-006	-		도착 사건에 문을 잠금	확정 해석은 presence 상승 사건에 즉시 잠금
E1-007	G,B,A		청소기 동작과 커튼 열림의 두 사건에 상대 기기의 상태를 확인해 서로 다른 동작	단순 두 규칙이며 병렬 흐름 독립성은 요구하지 않음
E1-008	G,B,A	Q,H	야간 입실에 켜고 이후 퇴실에 끄는 조명 제어	야간에 들어왔다가 오전 6시 이후 나가도 끄는 해석은 상태 기억 추가
E1-009	G		밤 10시에 문 닫힘과 조명 꺼짐을 함께 확인해 TV를 끔	시간 트리거에 두 상태 가드
E1-010	G,A,Q,D	X	오후 3시의 초인종 사건에 10초간 문을 열었다 다시 잠금	실제 해석은 15시 시간대이며 실행 중 재입력 무시
E1-011	G	D,Q	정시 출근 여부에 따라 이메일 전송	확정 해석은 6시부터 도착을 기다리며 9시 마감과 경쟁
E1-012	Q,D,H	X	입실 다음에 2시간 이내 일몰이 일어나면 조명 켜기	새 입실에 시간창을 재시작하는 정책은 확정 해석
E1-013	U		냄비 부재가 5분 넘게 지속되면 가스레인지 끄기	복귀하면 지속시간 초기화
E1-014	U		냉장고 문 열림이 5분 넘게 지속되면 알림	문을 닫으면 지속시간 초기화
E1-016	-		배터리가 부족해지면 청소기를 충전대로 복귀	충전대 복귀는 제공된 단일 동작
E1-019	-		다른 기기에 온수가 필요하면 식기세척기 일시정지	자동 재개는 요청하지 않음
E1-020	G,B		세탁기와 식기세척기가 동시에 실행되지 않도록 시작 요청을 제한	두 요청 동시 도착 시 세탁기 우선은 해석에서 고정
E1-021	-		매주 오전 8시에 잔디깎기 시작	요일 선택은 고정 해석이며 일정 반복을 제어 반복으로 세지 않음
