corpus_id,cohort,prior_case_id,source_stratum,provenance_type,source_title,source_url,source_locator,accessed_date,original_text,source_context,screen_status,screen_reason,duplicate_family,trigger_class,temporal_class,control_class,memory_class,action_cardinality,lifetime,rb_preliminary,rb_coder_1,rb_coder_2,rb_adjudicated,stage_a,depth_status,depth_rank,depth_reason,ambiguity_for_user,catalog_note,text_form,source_verification,notes,topic_family
E1-001,seed,C01,official,official example,"Home Assistant core, blueprints/motion_light.yaml",https://github.com/home-assistant/core/blob/dev/homeassistant/components/automation/blueprints/motion_light.yaml,blueprint.description; input.no_motion_wait.description; mode; actions,2026-09-12,"description: ""Turn on a light when motion is detected."" / no_motion_wait: ""Time to leave the light on after last motion is detected."" / mode: restart / actions: light.turn_on -> wait_for_trigger(motion on->off) -> delay(no_motion_wait) -> light.turn_off",,IN_SCOPE,,,event/state,delay/order,guard/branch,timestamp/prior-state,single,one-shot/unspecified,"R1, R3, R7, B1",,,,yes,completed_seed,,,,,REPO_VERIFIED_SOURCE_EXCERPT,SERVER_CHECKED_2026-09-13; CORRECTED,Stage A selection was a work-unit decision; no statistical sample-size rationale is claimed.,
E1-002,seed,C03,research,research example,"TAPInspector (arXiv 2102.01468v2) §V-D, IFTTT applet",https://arxiv.org/html/2102.01468v2,"§V-D, extended-action violation example, applet r_i",2026-09-12,Turn on fan for 15 minutes when CO₂>1000ppm,,IN_SCOPE,,,event/state; clock/calendar,duration/window,guard/branch,timestamp/prior-state,single,one-shot/unspecified,"R1, R2",,,,yes,completed_seed,,,,,REPO_VERIFIED_SOURCE_EXCERPT,SERVER_CHECKED_2026-09-13; CORRECTED,Stage A selection was a work-unit decision; no statistical sample-size rationale is claimed.,
E1-003,seed,C04,research,research example,"TAPInspector (arXiv 2102.01468v2) §V-D, IFTTT applet",https://arxiv.org/html/2102.01468v2,"§V-D, extended-action violation example, applet r_j",2026-09-12,At noon turn your fan on for 15 minutes,,IN_SCOPE,,,clock/calendar,duration/window,straight-line/unspecified,timestamp/prior-state,single,one-shot/unspecified,"R9, R2",,,,yes,completed_seed,,,,,REPO_VERIFIED_SOURCE_EXCERPT,SERVER_CHECKED_2026-09-13; CORRECTED,Stage A selection was a work-unit decision; no statistical sample-size rationale is claimed.,
E1-004,seed,C05,community,user-authored naturalistic,Home Assistant Community thread 520305: How to set notifications when door is left open?,https://community.home-assistant.io/t/how-to-set-notifications-when-door-is-left-open/520305,opening post (created 2023-01-17 UTC),2026-09-12,set notification if door is left open for 2 minutes and if not closed after that it should send notifications each minute,,IN_SCOPE,,,event/state,delay/order; duration/window,sequence/composition; guard/branch,timestamp/prior-state,multiple,one-shot/unspecified,"R3, R7",,,,yes,completed_seed,,,,,REPO_VERIFIED_SOURCE_EXCERPT,SERVER_CHECKED_2026-09-13; CORRECTED,Stage A selection was a work-unit decision; no statistical sample-size rationale is claimed.,
E1-005,seed,C07,community,user-authored naturalistic,Home Assistant Community thread 783900: How to automate open door notifications?,https://community.home-assistant.io/t/how-to-automate-open-door-notifications/783900,opening post (created 2024-10-18 UTC),2026-09-12,"trigger: ""garage door is left open after 22:00 for more than 10 minutes""; ""Blink the kitchen lights by dimming up and down 10 times in quick succession""; ""pause for 5 minutes""; ""Repeat the cycle up to 7 times""; ""If at any point during the blinking cycles, the garage door is closed, stop the automation immediately""; ""Ensure the kitchen lights return to their original state ... after the automation ends or during the pauses""",,IN_SCOPE,,,event/state,delay/order; duration/window; periodic/count,sequence/composition; guard/branch; repeat,timestamp/prior-state,multiple,one-shot/unspecified,"R9, R3, R5, R8, B5, B1",,,,yes,completed_seed,,,,,REPO_VERIFIED_SOURCE_EXCERPT,SERVER_CHECKED_2026-09-13; CORRECTED,Stage A selection was a work-unit decision; no statistical sample-size rationale is claimed.,
E1-006,seed,C09,elicited,user-study elicited,"AutoTap (ICSE 2019) §III, Event-Event Conditional sample",https://homes.cs.washington.edu/~jessejm/data/ZhangICSE2019.pdf,"§III template (g) Event-Event Conditional sample response; same statement in User Study 1 data, Result sheet, Excel row 16, column AM (header 1_Q25, statement 1)",2026-09-12,My smart door lock should always lock after I come in.,,IN_SCOPE,,,unspecified,delay/order,straight-line/unspecified,timestamp/prior-state,single,recurring,"R1, R4",,,,yes,completed_seed,,,,,REPO_VERIFIED_SOURCE_EXCERPT,SERVER_CHECKED_2026-09-13; CORRECTED,Stage A selection was a work-unit decision; no statistical sample-size rationale is claimed.,
E1-007,seed,C11,research,research example,AutoTap (ICSE 2019) §VI-A Task 11 and authors' rule explanation,https://homes.cs.washington.edu/~jessejm/data/ZhangICSE2019.pdf,"§VI-A Task 11, with the authors' rule explanation",2026-09-12,"""IF Roomba becomes on WHILE the curtain is open, THEN close the curtain; IF curtain becomes open WHILE Roomba is on, THEN turn off Roomba"" (property: ""Roomba is on should NEVER be active WHILE curtain is open"")",,IN_SCOPE,,,event/state,immediate/unspecified,sequence/composition; guard/branch,none/unspecified,single,recurring,"R1, B2",,,,yes,completed_seed,,,,,REPO_VERIFIED_SOURCE_EXCERPT,SERVER_CHECKED_2026-09-13; CORRECTED,Stage A selection was a work-unit decision; no statistical sample-size rationale is claimed.,
E1-008,seed,C15,research,paper-reported participant quote,"Ur et al., Practical Trigger-Action Programming in the Smart Home (CHI 2014), participant quote",https://www.blaseur.com/papers/TriggerActionCHI14.pdf,"Results, trigger/action structure paragraph ('one participant specified')",2026-09-12,"When I get up at night, I would want my lights to turn on and off as I enter and exit the room.",,IN_SCOPE,,,event/state; clock/calendar,immediate/unspecified,sequence/composition; guard/branch,none/unspecified,multiple,one-shot/unspecified,"R4, R7, R9",,,,yes,completed_seed,,,,,REPO_VERIFIED_SOURCE_EXCERPT,SERVER_CHECKED_2026-09-13; CORRECTED,Stage A selection was a work-unit decision; no statistical sample-size rationale is claimed.,
E1-009,seed,C16,research,study task,"Ur et al. (CHI 2014) Table 1, Task I",https://www.blaseur.com/papers/TriggerActionCHI14.pdf,"Table 1, Task I",2026-09-12,"If it is 10:00pm and my bedroom door is closed and the lights are off, turn the television off.",,IN_SCOPE,,,event/state; clock/calendar,immediate/unspecified,sequence/composition; guard/branch,none/unspecified,multiple,one-shot/unspecified,"R9, R6",,,,yes,completed_seed,,,,,REPO_VERIFIED_SOURCE_EXCERPT,SERVER_CHECKED_2026-09-13; CORRECTED,Stage A selection was a work-unit decision; no statistical sample-size rationale is claimed.,
E1-010,seed,C18,research,study task,"Huang & Cakmak, Supporting Mental Model Accuracy in TAP (UbiComp 2015), Table 5 Q3",https://homes.cs.washington.edu/~mcakmak/pdfs/2015/huang2015ubicomp.pdf,"Table 5, Q3",2026-09-12,"If the doorbell rings and the time is 3:00 pm, then unlock the front door for 10 seconds",,IN_SCOPE,,,event/state; clock/calendar,duration/window,sequence/composition; guard/branch,timestamp/prior-state,multiple,one-shot/unspecified,"R1, R9, R2",,,,yes,completed_seed,,,,,REPO_VERIFIED_SOURCE_EXCERPT,SERVER_CHECKED_2026-09-13; CORRECTED,Stage A selection was a work-unit decision; no statistical sample-size rationale is claimed.,
