59 pairs on supplementary histories
C01_014/llm REF-EQUIV-CHECKED 0 0.0 AGREE-EQUIV-ON-CHECKED
C04/correct REF-EQUIV-CHECKED 0 0.0 AGREE-EQUIV-ON-CHECKED
C01_020/llm REF-EQUIV-CHECKED 0 0.0 AGREE-EQUIV-ON-CHECKED
C02_020/llm REF-EQUIV-CHECKED 0 0.0 AGREE-EQUIV-ON-CHECKED
C02_022/llm REF-EQUIV-CHECKED 0 0.0 AGREE-EQUIV-ON-CHECKED
C02_028/llm REF-EQUIV-CHECKED 0 0.0 AGREE-EQUIV-ON-CHECKED
C02_030/llm REF-EQUIV-CHECKED 0 0.0 AGREE-EQUIV-ON-CHECKED
C08_001/llm REF-EQUIV-CHECKED 0 0.0 AGREE-EQUIV-ON-CHECKED
C07_018/llm REF-EQUIV-CHECKED 3 0.1 AGREE-EQUIV-ON-CHECKED
C05_021/llm REF-EQUIV-CHECKED 3 0.1 AGREE-EQUIV-ON-CHECKED
C03_008/llm REF-UNSUPPORTED-JOI 3 0.1 EXPLORER-REFUSED
C06_007/llm REF-EQUIV-CHECKED 3 0.1 AGREE-EQUIV-ON-CHECKED
C13_006/llm REF-EQUIV-CHECKED 0 0.0 EXPLORER-REFUSED
C07_029/llm REF-EQUIV-CHECKED 7 0.1 AGREE-EQUIV-ON-CHECKED
C03_027/llm REF-EQUIV-CHECKED 7 0.1 AGREE-EQUIV-ON-CHECKED
C07_027/llm REF-EQUIV-CHECKED 15 0.1 AGREE-EQUIV-ON-CHECKED
C15_013/llm REF-EQUIV-CHECKED 0 0.0 AGREE-EQUIV-ON-CHECKED
C05_028/llm REF-DIVERGE 15 0.1 AGREE-DIVERGE
C16/correct REF-EQUIV-CHECKED 6 0.0 AGREE-EQUIV-ON-CHECKED
C16_007/llm REF-DIVERGE 3 0.0 AGREE-DIVERGE
C05_014/llm REF-DIVERGE 63 0.2 AGREE-DIVERGE
C09_004/llm REF-EQUIV-CHECKED 613 0.8 AGREE-EQUIV-ON-CHECKED
C18_001/llm REF-EQUIV-CHECKED 126 0.2 AGREE-EQUIV-ON-CHECKED
C09_015/llm REF-EQUIV-CHECKED 1500 1.5 AGREE-EQUIV-ON-CHECKED
C10_007/llm REF-EQUIV-CHECKED 1507 1.7 AGREE-EQUIV-ON-CHECKED
C19/correct REF-EQUIV-CHECKED 5 0.3 EXPLORER-REFUSED
C16_011/llm REF-DIVERGE 1503 2.3 AGREE-DIVERGE
C18_004/llm REF-EQUIV-CHECKED 1500 2.4 AGREE-EQUIV-ON-CHECKED
C21_003/llm REF-DIVERGE 3 0.0 AGREE-DIVERGE
C18_009/llm REF-EQUIV-CHECKED 1503 2.1 AGREE-EQUIV-ON-CHECKED
C22_003/llm REF-EQUIV-CHECKED 770 1.0 AGREE-EQUIV-ON-CHECKED
C17_005/llm REF-EQUIV-CHECKED 1548 5.1 AGREE-EQUIV-ON-CHECKED
E1-062/correct REF-EQUIV-CHECKED 3 0.1 AGREE-EQUIV-ON-CHECKED
E1-028/correct REF-EQUIV-CHECKED 1 1.9 EXPLORER-REFUSED
C19_005/llm REF-EQUIV-CHECKED 1548 4.6 AGREE-EQUIV-ON-CHECKED
C14_003/llm REF-EQUIV-CHECKED 1500 8.4 EXPLORER-REFUSED
C09/correct REF-EQUIV-CHECKED 527 25.7 AGREE-EQUIV-ON-CHECKED
C09/fault4 REF-EQUIV-CHECKED 527 25.8 AGREE-EQUIV-ON-CHECKED
E1-092-A/correct REF-EQUIV-CHECKED 1 0.0 AGREE-EQUIV-ON-CHECKED
E1-092-B/correct REF-EQUIV-CHECKED 1 0.0 AGREE-EQUIV-ON-CHECKED
E1-072/correct REF-EQUIV-CHECKED 6 72.4 AGREE-EQUIV-ON-CHECKED
E1-086/correct REF-EQUIV-CHECKED 1207 75.9 AGREE-EQUIV-ON-CHECKED
E1-086/fault2 REF-EQUIV-CHECKED 1207 77.1 EXPLORER-DIVERGE-CONFIRMED-BY-REF-ON-WITNESS
E1-086/fault3 REF-EQUIV-CHECKED 1207 76.1 EXPLORER-DIVERGE-CONFIRMED-BY-REF-ON-WITNESS
E1-086/fault4 REF-EQUIV-CHECKED 1207 73.4 EXPLORER-DIVERGE-CONFIRMED-BY-REF-ON-WITNESS
C03/correct REF-EQUIV-CHECKED 1512 112.0 AGREE-EQUIV-ON-CHECKED
E1-095/correct REF-EQUIV-CHECKED 474 98.2 EXPLORER-REFUSED
C01/correct REF-EQUIV-CHECKED 1504 134.1 AGREE-EQUIV-ON-CHECKED
C05/correct REF-EQUIV-CHECKED 1504 139.2 AGREE-EQUIV-ON-CHECKED
C18/correct REF-EQUIV-CHECKED 1503 214.6 EXPLORER-REFUSED
E1-099/fault2 REF-EQUIV-CHECKED 1506 230.3 EXPLORER-REFUSED
E1-099/fault4 REF-EQUIV-CHECKED 1506 231.3 EXPLORER-REFUSED
E1-099/correct REF-EQUIV-CHECKED 1506 259.0 EXPLORER-REFUSED
C11/correct REF-EQUIV-CHECKED 1521 353.7 AGREE-EQUIV-ON-CHECKED
C07/correct REF-EQUIV-CHECKED 1504 512.5 EXPLORER-TIMEOUT
C15/correct REF-EQUIV-CHECKED 1467 662.8 EXPLORER-REFUSED
C15/fault1 REF-EQUIV-CHECKED 1467 682.4 EXPLORER-REFUSED
