id,domain,space_id,intent,command,command_ko,expect,why,d,tier,context,targets,target_svc
G00014,공장,FACT03,기기제어,please turn on the light.,조명 좀 켜 줘.,ask,,D1,T0,none,FACT03_ProcessRoom_Light_1 FACT03_ProcessRoom_Light_2 FACT03_ProcessRoom_Light_3 FACT03_ProcessRoom_Light_4 FACT03_ProcessRoom_Light_5 FACT03_ProcessRoom_Light_6,
G00017,공장,FACT04,기기제어,This room is gloomy.,방이 침침해.,execute,,D1,T0,none,FACT04_MachineShop_Light_1 FACT04_MachineShop_Light_2 FACT04_MachineShop_Light_3 FACT04_MachineShop_Light_4 FACT04_MachineShop_Light_5 FACT04_MachineShop_Light_6,
G00022,공장,FACT01,기기제어,Put the line lights on,생산라인 조명 켜,execute,,D1,T0,none,FACT01_Line_Light_1 FACT01_Line_Light_2 FACT01_Line_Light_3 FACT01_Line_Light_4 FACT01_Line_Light_5 FACT01_Line_Light_6,
G00028,공장,FACT05,기기제어,Light up the pump room lights,펌프실 조명 켜,execute,,D1,T0,none,FACT05_PumpRoom_Light_1 FACT05_PumpRoom_Light_2 FACT05_PumpRoom_Light_3 FACT05_PumpRoom_Light_4 FACT05_PumpRoom_Light_5 FACT05_PumpRoom_Light_6,
G00033,공장,FACT02,기기제어,could you light up the warehouse lights?,창고 조명 켜 줄 수 있어?,execute,,D1,T0,none,FACT02_Warehouse_Light_1 FACT02_Warehouse_Light_2 FACT02_Warehouse_Light_3 FACT02_Warehouse_Light_4 FACT02_Warehouse_Light_5 FACT02_Warehouse_Light_6 FACT02_Warehouse_Light_7 FACT02_Warehouse_Light_8,
G00037,공장,FACT03,기기제어,I'd like you to switch the process room lights on.,공정실 조명 켜 줬으면 해.,execute,,D1,T0,none,FACT03_ProcessRoom_Light_1 FACT03_ProcessRoom_Light_2 FACT03_ProcessRoom_Light_3 FACT03_ProcessRoom_Light_4 FACT03_ProcessRoom_Light_5 FACT03_ProcessRoom_Light_6,
G00048,공장,FACT04,기기제어,can you get the machine shop lights on?,기계실 조명 켜 줄래?,execute,,D1,T0,none,FACT04_MachineShop_Light_1 FACT04_MachineShop_Light_2 FACT04_MachineShop_Light_3 FACT04_MachineShop_Light_4 FACT04_MachineShop_Light_5 FACT04_MachineShop_Light_6,
G00053,공장,FACT01,기기제어,please get the line lights on.,생산라인 조명 켜 주세요.,execute,,D1,T0,none,FACT01_Line_Light_1 FACT01_Line_Light_2 FACT01_Line_Light_3 FACT01_Line_Light_4 FACT01_Line_Light_5 FACT01_Line_Light_6,
G00067,공장,FACT03,기기제어,Put the process room lights on,공정실 조명 켜,execute,,D1,T0,none,FACT03_ProcessRoom_Light_1 FACT03_ProcessRoom_Light_2 FACT03_ProcessRoom_Light_3 FACT03_ProcessRoom_Light_4 FACT03_ProcessRoom_Light_5 FACT03_ProcessRoom_Light_6,
G00087,공장,FACT02,기기제어,can you switch the warehouse lights on?,창고 조명 켜 줄래?,execute,,D1,T0,none,FACT02_Warehouse_Light_1 FACT02_Warehouse_Light_2 FACT02_Warehouse_Light_3 FACT02_Warehouse_Light_4 FACT02_Warehouse_Light_5 FACT02_Warehouse_Light_6 FACT02_Warehouse_Light_7 FACT02_Warehouse_Light_8,
G00098,공장,FACT03,기기제어,please get the process room lights on.,공정실 조명 좀 켜 줘.,execute,,D1,T0,none,FACT03_ProcessRoom_Light_1 FACT03_ProcessRoom_Light_2 FACT03_ProcessRoom_Light_3 FACT03_ProcessRoom_Light_4 FACT03_ProcessRoom_Light_5 FACT03_ProcessRoom_Light_6,
G00114,공장,FACT03,기기제어,Switch the light on,조명 켜,ask,,D1,T0,none,FACT03_ProcessRoom_Light_1 FACT03_ProcessRoom_Light_2 FACT03_ProcessRoom_Light_3 FACT03_ProcessRoom_Light_4 FACT03_ProcessRoom_Light_5 FACT03_ProcessRoom_Light_6,
G00123,공장,FACT01,기기제어,I'd like you to get the line lights on.,생산라인 조명 켜 줬으면 해.,execute,,D1,T0,none,FACT01_Line_Light_1 FACT01_Line_Light_2 FACT01_Line_Light_3 FACT01_Line_Light_4 FACT01_Line_Light_5 FACT01_Line_Light_6,
G00129,공장,FACT05,기기제어,I'd like you to turn on the pump room lights.,펌프실 조명 켜 줬으면 해.,execute,,D1,T0,none,FACT05_PumpRoom_Light_1 FACT05_PumpRoom_Light_2 FACT05_PumpRoom_Light_3 FACT05_PumpRoom_Light_4 FACT05_PumpRoom_Light_5 FACT05_PumpRoom_Light_6,
G00134,공장,FACT02,기기제어,can you dim the warehouse lights to 5 percent?,창고 조명 밝기를 5퍼센트로 낮춰 줄래?,execute,,D1,T0,none,FACT02_Warehouse_Light_1 FACT02_Warehouse_Light_2 FACT02_Warehouse_Light_3 FACT02_Warehouse_Light_4 FACT02_Warehouse_Light_5 FACT02_Warehouse_Light_6 FACT02_Warehouse_Light_7 FACT02_Warehouse_Light_8,
G00149,공장,FACT04,기기제어,Bring the machine shop lights down to 25 percent.,기계실 조명 밝기를 25퍼센트까지 낮춰.,execute,,D1,T0,none,FACT04_MachineShop_Light_1 FACT04_MachineShop_Light_2 FACT04_MachineShop_Light_3 FACT04_MachineShop_Light_4 FACT04_MachineShop_Light_5 FACT04_MachineShop_Light_6,
G00152,공장,FACT03,기기제어,please dim the process room lights to 30 percent.,공정실 조명 밝기를 30퍼센트로 좀 낮춰 줘.,execute,,D1,T0,none,FACT03_ProcessRoom_Light_1 FACT03_ProcessRoom_Light_2 FACT03_ProcessRoom_Light_3 FACT03_ProcessRoom_Light_4 FACT03_ProcessRoom_Light_5 FACT03_ProcessRoom_Light_6,
G00154,공장,FACT01,기기제어,Light up the line lights,생산라인 조명 켜,execute,,D1,T0,none,FACT01_Line_Light_1 FACT01_Line_Light_2 FACT01_Line_Light_3 FACT01_Line_Light_4 FACT01_Line_Light_5 FACT01_Line_Light_6,
G00160,공장,FACT05,기기제어,Switch the pump room lights on,펌프실 조명 켜,execute,,D1,T0,none,FACT05_PumpRoom_Light_1 FACT05_PumpRoom_Light_2 FACT05_PumpRoom_Light_3 FACT05_PumpRoom_Light_4 FACT05_PumpRoom_Light_5 FACT05_PumpRoom_Light_6,
G00168,공장,FACT03,기기제어,I'd like you to get the process room lights on.,공정실 조명 켜 줬으면 해.,execute,,D1,T0,none,FACT03_ProcessRoom_Light_1 FACT03_ProcessRoom_Light_2 FACT03_ProcessRoom_Light_3 FACT03_ProcessRoom_Light_4 FACT03_ProcessRoom_Light_5 FACT03_ProcessRoom_Light_6,
G00176,공장,FACT01,기기제어,Turn the line lights up to 75 percent,생산라인 조명 밝기를 75퍼센트까지 올려,execute,,D1,T0,none,FACT01_Line_Light_1 FACT01_Line_Light_2 FACT01_Line_Light_3 FACT01_Line_Light_4 FACT01_Line_Light_5 FACT01_Line_Light_6,
G00179,공장,FACT04,기기제어,can you dim the machine shop lights to 25 percent?,기계실 조명 밝기를 25퍼센트로 낮춰 줄래?,execute,,D1,T0,none,FACT04_MachineShop_Light_1 FACT04_MachineShop_Light_2 FACT04_MachineShop_Light_3 FACT04_MachineShop_Light_4 FACT04_MachineShop_Light_5 FACT04_MachineShop_Light_6,
G00188,공장,FACT02,기기제어,Dim the warehouse lights to 25 percent.,창고 조명 밝기를 25퍼센트로 낮춰.,execute,,D1,T0,none,FACT02_Warehouse_Light_1 FACT02_Warehouse_Light_2 FACT02_Warehouse_Light_3 FACT02_Warehouse_Light_4 FACT02_Warehouse_Light_5 FACT02_Warehouse_Light_6 FACT02_Warehouse_Light_7 FACT02_Warehouse_Light_8,
G00211,공장,FACT05,기기제어,Set a calmer tone,차분한 톤으로 맞춰 줘,ask,,D1,T0,none,FACT05_BoilerRoom_Light_1 FACT05_BoilerRoom_Light_2 FACT05_PumpRoom_Light_1 FACT05_PumpRoom_Light_2 FACT05_PumpRoom_Light_3 FACT05_PumpRoom_Light_4 FACT05_PumpRoom_Light_5 FACT05_PumpRoom_Light_6 FACT05_PumpRoom_StatusLight_1 FACT05_PumpRoom_StatusLight_2 FACT05_PumpRoom_StatusLight_3 FACT05_PumpRoom_StatusLight_4,
G00216,공장,FACT04,기기제어,could you turn all the lights blue?,모든 조명 파란색으로 켜 줄 수 있어?,execute,,D1,T0,none,FACT04_MachineShop_Light_1 FACT04_MachineShop_Light_2 FACT04_MachineShop_Light_3 FACT04_MachineShop_Light_4 FACT04_MachineShop_Light_5 FACT04_MachineShop_Light_6,
G00231,공장,FACT01,기기제어,can you switch the lights on?,조명 전부 켜 줄래?,execute,,D1,T0,none,FACT01_Line_Light_1 FACT01_Line_Light_2 FACT01_Line_Light_3 FACT01_Line_Light_4 FACT01_Line_Light_5 FACT01_Line_Light_6,
G00235,공장,FACT02,기기제어,Set the lights to purple.,조명 전부 보라색으로 바꿔.,execute,,D1,T0,none,FACT02_Warehouse_Light_1 FACT02_Warehouse_Light_2 FACT02_Warehouse_Light_3 FACT02_Warehouse_Light_4 FACT02_Warehouse_Light_5 FACT02_Warehouse_Light_6 FACT02_Warehouse_Light_7 FACT02_Warehouse_Light_8 FACT02_Dock_Light_1 FACT02_Dock_Light_2,
