id,domain,space_id,intent,command,command_ko,expect,why,d,tier,context,targets,target_svc
G00018,집,HOME06,기기제어,please light up the light.,조명 좀 켜 줘.,ask,,D1,T0,none,HOME06_LivingRoom_Light_1 HOME06_LivingRoom_Light_2 HOME06_LivingRoom_Light_3 HOME06_LivingRoom_Light_4 HOME06_Kitchen_Light_1 HOME06_Kitchen_Light_2 HOME06_Bedroom_Light_1 HOME06_Bedroom_Light_2 HOME06_Study_Light_1 HOME06_Bathroom_Light_1 HOME06_Bathroom_Light_2 HOME06_Hallway_Light_1 HOME06_Garden_Light_1 HOME06_Garden_Light_2 HOME06_Garage_Light_1,
G00019,집,HOME13,기기제어,can you switch the living room lights on?,거실 조명 켜 줄래?,execute,,D1,T0,none,HOME13_LivingRoom_Light_1 HOME13_LivingRoom_Light_2 HOME13_LivingRoom_Light_3,
G00020,집,HOME20,기기제어,I'd like you to get the kitchen lights on.,주방 조명 켜 줬으면 해.,execute,,D1,T0,none,HOME20_Kitchen_Light_1,
G00023,집,HOME03,기기제어,Light up the living room lights.,거실 조명 켜.,execute,,D1,T0,none,HOME03_LivingRoom_Light_1 HOME03_LivingRoom_Light_2 HOME03_LivingRoom_Light_3,
G00024,집,HOME10,기기제어,please switch the living room lights on.,거실 조명 좀 켜 줘.,execute,,D1,T0,none,HOME10_LivingRoom_Light_1 HOME10_LivingRoom_Light_2,
G00025,집,HOME17,기기제어,can you get the bathroom lights on?,욕실 조명 켜 줄래?,execute,,D1,T0,none,HOME17_Bathroom_Light_1,
G00029,집,HOME07,기기제어,Switch the living room lights on.,거실 조명 켜.,execute,,D1,T0,none,HOME07_LivingRoom_Light_1 HOME07_LivingRoom_Light_2 HOME07_LivingRoom_Light_3,
G00030,집,HOME14,기기제어,please get the living room lights on.,거실 조명 좀 켜 줘.,execute,,D1,T0,none,HOME14_LivingRoom_Light_1 HOME14_LivingRoom_Light_2,
G00034,집,HOME04,기기제어,Switch the living room lights on,거실 조명 켜,execute,,D1,T0,none,HOME04_LivingRoom_Light_1 HOME04_LivingRoom_Light_2 HOME04_LivingRoom_Light_3,
G00035,집,HOME11,기기제어,Brighten this place up.,여기 좀 밝게 해 줘.,ask,,D1,T0,none,HOME11_Bathroom_Light_1 HOME11_Kitchen_Light_1 HOME11_Room_Light_1 HOME11_Room_Light_2 HOME11_Room_WindowCovering_1,
G00036,집,HOME14,기기제어,This room is gloomy,방이 침침해,execute,,D1,T0,none,HOME14_Bedroom_Light_1 HOME14_Kitchen_Light_1 HOME14_LivingRoom_Light_1 HOME14_LivingRoom_Light_2,
G00038,집,HOME05,기기제어,could you get the kitchen lights on?,주방 조명 켜 줄 수 있어?,execute,,D1,T0,none,HOME05_Kitchen_Light_1,
G00039,집,HOME12,기기제어,Turn on the room B light,B방 조명 켜,execute,,D1,T0,none,HOME12_RoomB_Light_1,
G00040,집,HOME19,기기제어,Put the study light 2 on.,서재 조명 2 켜.,execute,,D1,T0,none,HOME19_Study_Light_2,
G00043,집,HOME02,기기제어,I'd like you to get the bedroom lights on.,침실 조명 켜 줬으면 해.,execute,,D1,T0,none,HOME02_Bedroom_Light_1,
G00044,집,HOME09,기기제어,could you turn on the nursery mood light?,아기방 무드등 켜 줄 수 있어?,execute,,D1,T0,none,HOME09_BabyRoom_Light_1,
G00049,집,HOME06,기기제어,I'd like you to turn on the study lights.,서재 조명 켜 줬으면 해.,execute,,D1,T0,none,HOME06_Study_Light_1,
G00050,집,HOME13,기기제어,could you put the living room lights on?,거실 조명 켜 줄 수 있어?,execute,,D1,T0,none,HOME13_LivingRoom_Light_1 HOME13_LivingRoom_Light_2 HOME13_LivingRoom_Light_3,
G00051,집,HOME20,기기제어,Light up the bedroom lights,침실 조명 켜,execute,,D1,T0,none,HOME20_Bedroom_Light_1,
G00054,집,HOME03,기기제어,It is too dark in here.,여기 너무 어두워.,ask,,D1,T0,none,HOME03_Bathroom_Light_1 HOME03_Bedroom_Light_1 HOME03_Bedroom_Light_2 HOME03_Hallway_Light_1 HOME03_Kitchen_Light_1 HOME03_LivingRoom_Light_1 HOME03_LivingRoom_Light_2 HOME03_LivingRoom_Light_3 HOME03_LivingRoom_WindowCovering_1 HOME03_LivingRoom_WindowCovering_2,
G00055,집,HOME10,기기제어,I'd like you to put the living room lights on.,거실 조명 켜 줬으면 해.,execute,,D1,T0,none,HOME10_LivingRoom_Light_1 HOME10_LivingRoom_Light_2,
G00056,집,HOME17,기기제어,could you light up the room lights?,방 조명 켜 줄 수 있어?,execute,,D1,T0,none,HOME17_Room_Light_1,
G00057,집,HOME04,기기제어,please put the living room lights on.,거실 조명 좀 켜 줘.,execute,,D1,T0,none,HOME04_LivingRoom_Light_1 HOME04_LivingRoom_Light_2 HOME04_LivingRoom_Light_3,
G00058,집,HOME11,기기제어,can you light up the kitchen lights?,주방 조명 켜 줄래?,execute,,D1,T0,none,HOME11_Kitchen_Light_1,
G00059,집,HOME18,기기제어,I'd like you to switch the bedroom lights on.,침실 조명 켜 줬으면 해.,execute,,D1,T0,none,HOME18_Bedroom_Light_1 HOME18_Bedroom_Light_2,
G00062,집,HOME01,기기제어,Put the room lights on.,방 조명 켜.,execute,,D1,T0,none,HOME01_Room_Light_1 HOME01_Room_Light_2,
G00064,집,HOME15,기기제어,can you switch the Hue bedroom 1 on?,Hue 침실 1 켜 줄래?,execute,,D1,T0,none,HOME15_Bedroom_Light_1,
G00068,집,HOME05,기기제어,Light up the study lights.,서재 조명 켜.,execute,,D1,T0,none,HOME05_Study_Light_1,
G00069,집,HOME12,기기제어,please switch the room B light on.,B방 조명 켜 주세요.,execute,,D1,T0,none,HOME12_RoomB_Light_1,
G00070,집,HOME19,기기제어,can you get the study light 2 on?,서재 조명 2 켜 줄래?,execute,,D1,T0,none,HOME19_Study_Light_2,
G00073,집,HOME02,기기제어,Light up the living room lights,거실 조명 켜,execute,,D1,T0,none,HOME02_LivingRoom_Light_1 HOME02_LivingRoom_Light_2,
G00074,집,HOME09,기기제어,Switch the nursery color mood light on.,아기방 컬러 무드등 켜.,execute,,D1,T0,none,HOME09_BabyRoom_ColorControl_1,
G00077,집,HOME12,기기제어,I'd like you to get the room B light on.,B방 조명 켜 줬으면 해.,execute,,D1,T0,none,HOME12_RoomB_Light_1,
G00078,집,HOME10,기기제어,Get the bathroom lights on,욕실 조명 켜,execute,,D1,T0,none,HOME10_Bathroom_Light_1,
G00079,집,HOME17,기기제어,Turn on the bathroom lights.,욕실 조명 켜.,execute,,D1,T0,none,HOME17_Bathroom_Light_1,
G00084,집,HOME14,기기제어,Turn on the living room lights,거실 조명 켜,execute,,D1,T0,none,HOME14_LivingRoom_Light_1 HOME14_LivingRoom_Light_2,
G00088,집,HOME04,기기제어,I'd like you to get the study lights on.,서재 조명 켜 줬으면 해.,execute,,D1,T0,none,HOME04_Study_Light_1 HOME04_Study_Light_2,
G00089,집,HOME11,기기제어,could you turn on the kitchen lights?,주방 조명 켜 줄 수 있어?,execute,,D1,T0,none,HOME11_Kitchen_Light_1,
G00090,집,HOME18,기기제어,Put the bedroom lights on,침실 조명 켜,execute,,D1,T0,none,HOME18_Bedroom_Light_1 HOME18_Bedroom_Light_2,
G00093,집,HOME01,기기제어,can you get the room lights on?,방 조명 켜 줄래?,execute,,D1,T0,none,HOME01_Room_Light_1 HOME01_Room_Light_2,
