id,batch,exact_histories,histories,all_frozen_histories_exact,candidate_label,candidate_reason
E1-013,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-014,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-016,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-019,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-020,batch_er,3,3,True,complete for serialized request admission with acknowledged lifecycle,"Admitted start reserves the single flow until the selected device is observed running then stopped; later requests during reservation are discarded. This handles the delayed-acknowledgement sensitivity. Assumes starts go through this controller, acknowledged run/stop transitions are sampled, and no already-conflicting external start. Does not claim plant-level mutual exclusion for arbitrary external starts."
E1-021,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-022,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-023,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-024,batch_er,1,3,False,partial: conservative one-session cooldown,Caps any one session at ten minutes and waits 48 h before another; cannot admit legal split sessions or account for rolling cumulative runtime. Frozen split-session and quota-cap histories expose this loss. No general accumulator is delegated to fixture.
E1-025,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-026,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-029,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-030,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-031,batch_er,3,3,True,complete for fixed-two raw-event interpretation,"Two observed rising use events enable requests immediately at the second onset; initial held use is not an event. Day deadline resets the phases at midnight, before requests at that boundary. This is bounded phase state, not arbitrary counting; the corpus author additionally permits an external daily-count guard."
E1-032,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-033,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-035,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-038,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-039,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-040,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-041,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-042,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-043,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-044,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-045,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-046,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-047,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-048,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-049,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-050,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-051,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-052,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-053,batch_er,3,3,True,complete under agent-fixed interpretation,Standard event/state sequencing; no delegated temporal policy.
E1-054,batch_official,4,4,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-055,batch_official,3,3,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-056,batch_official,4,4,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-057,batch_official,3,3,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-058,batch_official,4,4,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-059,batch_official,5,5,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-060,batch_official,5,5,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-061,batch_official,3,3,True,complete under frozen interpretation,Three source schedules expressed as independent guards in one continuously polling flow; no waits block another schedule.
E1-063,batch_official,4,4,True,complete under qualified single-flight interpretation,Exact finite source color sequence; concurrent/restart policy not specified by source and frozen as ignore while busy.
E1-064,batch_official,4,4,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-065,batch_official,4,4,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-066,batch_official,3,3,True,qualified complete for frozen pulse waveform,Controller emits 150 square-wave On/Off pairs over five minutes. Waveform and ignore-while-busy policy are agent choices; native LightEffectPulse equivalence is not established.
E1-067,batch_official,4,4,True,complete under frozen interpretation,Timestamp timer resets at every true->false transition; no repeated Off or startup timer.
E1-068,batch_official,4,4,True,complete under source-YAML absence interpretation,Controller timestamp tracks last absence onset; input is inspected before deadline action so coincident renewed presence cancels Off. E1-068 YAML selected over abbreviated prose.
E1-069,batch_official,4,4,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-070,batch_official,4,4,True,qualified complete for frozen pulse waveform,Controller emits 150 square-wave On/Off pairs over five minutes. Waveform and ignore-while-busy policy are agent choices; native LightEffectPulse equivalence is not established.
E1-071,batch_official,3,3,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-073,batch_official,4,4,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-074,batch_official,5,5,True,qualified complete for success-based suppression,"Twenty-hour cooldown maintained by timestamp after action, inclusive expiry. Suppression before condition evaluation is an untested alternative source interpretation."
E1-075,batch_official,6,6,True,complete under frozen interpretation,"All three raw motion events inspected independently; two recipients per event; actual runtime weekday strings. Frozen transcription MON is a metadata shorthand, runtime uses monday."
E1-076,batch_official,5,5,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-077,batch_official,5,5,True,complete under frozen interpretation,Previous-state snapshots identify events; guards and command arguments implement frozen source-derived semantics.
E1-078,batch_community,3,3,True,complete for qualified manual-rearm interpretation,Conservative lockout explicitly fixed before encoding; genuine later motion is inhibited until manual rearm.
E1-079,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
E1-080,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
E1-081,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
E1-082,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
E1-084,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
E1-085,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
E1-087,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
E1-088,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
E1-089,batch_community,4,4,True,complete for source final-YAML interpretation,Reproduces source startup branch priority even in overlapping elevation range; not a repaired astronomy rule.
E1-090,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
E1-093,batch_community,3,3,True,complete via independent Timelines,Three fixed branches share trigger only; own delay does not block others.
E1-094,batch_community,3,3,True,complete via fixed independent stepped-fade Timelines,Static two-light stepped-fade configuration fixed before encoding; no dynamic fork/join.
E1-096,batch_community,3,3,True,complete for fixed selected sensor set,Two static sensors and selected notification output; no dynamic collection enumeration.
E1-097,batch_community,3,3,True,complete via independent Timelines,"Fixed guard configuration, no shared state/join; pulse timing inside IR."
E1-098,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
E1-100,batch_community,3,3,True,complete,All fixed source clauses encoded; empirical traces are finite.
