id,domain,space_id,intent,command,command_ko,expect,why,d,tier,context,targets,target_svc
G00001,농장,FARM01,기기제어,Light up the lights.,조명 켜.,refuse,no_device,D1,T0,none,,
G00002,농장,FARM04,기기제어,please switch the lights on.,조명 좀 켜 줘.,refuse,no_device,D1,T0,none,,
G00003,농장,FARM01,기기제어,can you get the lights on?,조명 켜 줄래?,refuse,no_device,D1,T0,none,,
G00004,농장,FARM04,기기제어,I'd like you to turn on the lights.,조명 켜 줬으면 해.,refuse,no_device,D1,T0,none,,
G00005,농장,FARM01,기기제어,could you put the lights on?,조명 켜 줄 수 있어?,refuse,no_device,D1,T0,none,,
G00006,농장,FARM01,기기제어,Light up the lights,조명 켜,refuse,no_device,D1,T0,none,,
G00007,농장,FARM01,기기제어,Switch the lights on.,조명 켜.,refuse,no_device,D1,T0,none,,
G00008,농장,FARM01,기기제어,It is too dark in here,여기 너무 어두워,ask,,D1,T0,none,FARM01_Greenhouse_GrowLight_1 FARM01_Greenhouse_GrowLight_2 FARM01_Greenhouse_GrowLight_3 FARM01_Greenhouse_GrowLight_4 FARM01_Greenhouse_WindowCovering_1 FARM01_Greenhouse_WindowCovering_2 FARM01_Greenhouse_WindowCovering_3,
G00009,농장,FARM01,기기제어,can you turn on the lights?,조명 켜 줄래?,refuse,no_device,D1,T0,none,,
G00010,농장,FARM04,기기제어,I'd like you to put the lights on.,조명 켜 줬으면 해.,refuse,no_device,D1,T0,none,,
G00011,농장,FARM04,기기제어,could you light up the lights?,조명 켜 줄 수 있어?,refuse,no_device,D1,T0,none,,
G00012,농장,FARM04,기기제어,Switch the lights on,조명 켜,refuse,no_device,D1,T0,none,,
G00013,농장,FARM04,기기제어,Get the lights on.,조명 켜.,refuse,no_device,D1,T0,none,,
G00014,공장,FACT03,기기제어,please turn on the light.,조명 좀 켜 줘.,ask,,D1,T0,none,FACT03_ProcessRoom_Light_1 FACT03_ProcessRoom_Light_2 FACT03_ProcessRoom_Light_3 FACT03_ProcessRoom_Light_4 FACT03_ProcessRoom_Light_5 FACT03_ProcessRoom_Light_6,
G00015,사무실,OFFICE03,기기제어,could you get the light on?,조명 켜 줄 수 있어?,ask,,D1,T0,none,OFFICE03_MeetingRoom_Light_1 OFFICE03_MeetingRoom_Light_2 OFFICE03_MeetingRoom_Light_3 OFFICE03_MeetingRoom_Light_4 OFFICE03_OpenSpace_Light_1 OFFICE03_OpenSpace_Light_2 OFFICE03_OpenSpace_Light_3,
G00016,연구실,LAB04,기기제어,Turn on the light,조명 켜,ask,,D1,T0,none,LAB04_LabRoom_Light_1 LAB04_LabRoom_Light_2 LAB04_LabRoom_Light_3 LAB04_LabRoom_Light_4,
G00017,공장,FACT04,기기제어,This room is gloomy.,방이 침침해.,execute,,D1,T0,none,FACT04_MachineShop_Light_1 FACT04_MachineShop_Light_2 FACT04_MachineShop_Light_3 FACT04_MachineShop_Light_4 FACT04_MachineShop_Light_5 FACT04_MachineShop_Light_6,
G00018,집,HOME06,기기제어,please light up the light.,조명 좀 켜 줘.,ask,,D1,T0,none,HOME06_LivingRoom_Light_1 HOME06_LivingRoom_Light_2 HOME06_LivingRoom_Light_3 HOME06_LivingRoom_Light_4 HOME06_Kitchen_Light_1 HOME06_Kitchen_Light_2 HOME06_Bedroom_Light_1 HOME06_Bedroom_Light_2 HOME06_Study_Light_1 HOME06_Bathroom_Light_1 HOME06_Bathroom_Light_2 HOME06_Hallway_Light_1 HOME06_Garden_Light_1 HOME06_Garden_Light_2 HOME06_Garage_Light_1,
G00019,집,HOME13,기기제어,can you switch the living room lights on?,거실 조명 켜 줄래?,execute,,D1,T0,none,HOME13_LivingRoom_Light_1 HOME13_LivingRoom_Light_2 HOME13_LivingRoom_Light_3,
G00020,집,HOME20,기기제어,I'd like you to get the kitchen lights on.,주방 조명 켜 줬으면 해.,execute,,D1,T0,none,HOME20_Kitchen_Light_1,
G00021,연구실,LAB01,기기제어,could you turn on the occupancy indicator (zone 6)?,재실 상태 인디케이터 (구역 6) 켜 줄 수 있어?,execute,,D1,T0,none,tc0_05b24023-a435-4e1a-bf7d-680c5a0174ba,
G00022,공장,FACT01,기기제어,Put the line lights on,생산라인 조명 켜,execute,,D1,T0,none,FACT01_Line_Light_1 FACT01_Line_Light_2 FACT01_Line_Light_3 FACT01_Line_Light_4 FACT01_Line_Light_5 FACT01_Line_Light_6,
G00023,집,HOME03,기기제어,Light up the living room lights.,거실 조명 켜.,execute,,D1,T0,none,HOME03_LivingRoom_Light_1 HOME03_LivingRoom_Light_2 HOME03_LivingRoom_Light_3,
G00024,집,HOME10,기기제어,please switch the living room lights on.,거실 조명 좀 켜 줘.,execute,,D1,T0,none,HOME10_LivingRoom_Light_1 HOME10_LivingRoom_Light_2,
