id,domain,space_id,intent,command,command_ko,expect,why,d,tier,context,targets,target_svc
G00016,연구실,LAB04,기기제어,Turn on the light,조명 켜,ask,,D1,T0,none,LAB04_LabRoom_Light_1 LAB04_LabRoom_Light_2 LAB04_LabRoom_Light_3 LAB04_LabRoom_Light_4,
G00021,연구실,LAB01,기기제어,could you turn on the occupancy indicator (zone 6)?,재실 상태 인디케이터 (구역 6) 켜 줄 수 있어?,execute,,D1,T0,none,tc0_05b24023-a435-4e1a-bf7d-680c5a0174ba,
G00027,연구실,LAB05,기기제어,could you put the zone 2 light on?,구역 2 조명 켜 줄 수 있어?,execute,,D1,T0,none,LAB05_TestBed_Light_2,
G00032,연구실,LAB02,기기제어,I'd like you to put the lab lights on.,실험실 조명 켜 줬으면 해.,execute,,D1,T0,none,LAB02_LabRoom_Light_1 LAB02_LabRoom_Light_2 LAB02_LabRoom_Light_3 LAB02_LabRoom_Light_4,
G00047,연구실,LAB04,기기제어,please switch the lab lights on.,실험실 조명 좀 켜 줘.,execute,,D1,T0,none,LAB04_LabRoom_Light_1 LAB04_LabRoom_Light_2 LAB04_LabRoom_Light_3 LAB04_LabRoom_Light_4,
G00052,연구실,LAB01,기기제어,Switch the CO2 level indicator on.,CO2 농도 인디케이터 켜.,execute,,D1,T0,none,tc0_7def1d9d-721c-4e35-b217-51fb8b46ba59,
G00066,연구실,LAB03,기기제어,could you turn on the cold room lights?,저온실 조명 켜 줄 수 있어?,execute,,D1,T0,none,LAB03_ColdRoom_Light_1,
G00081,연구실,LAB05,기기제어,can you light up the zone 3 light?,구역 3 조명 켜 줄래?,execute,,D1,T0,none,LAB05_TestBed_Light_3,
G00086,연구실,LAB02,기기제어,please light up the lab lights.,실험실 조명 좀 켜 줘.,execute,,D1,T0,none,LAB02_LabRoom_Light_1 LAB02_LabRoom_Light_2 LAB02_LabRoom_Light_3 LAB02_LabRoom_Light_4,
G00097,연구실,LAB03,기기제어,Switch the lab lights on.,실험실 조명 켜.,execute,,D1,T0,none,LAB03_LabRoom_Light_1 LAB03_LabRoom_Light_2 LAB03_LabRoom_Light_3,
G00113,연구실,LAB03,기기제어,could you dim the light to 5 percent?,조명 밝기를 5퍼센트로 낮춰 줄 수 있어?,ask,,D1,T0,none,LAB03_LabRoom_Light_1 LAB03_LabRoom_Light_2 LAB03_LabRoom_Light_3 LAB03_ColdRoom_Light_1,
