src,index,old_cat,command_eng,D,D_base,D_name,features,B1,B3,A2,services,n_connected
dataset.csv,1,C01,Switch the dishwasher to dry mode.,D1,D1,지금 한 번,,set,1,unmarked,Dishwasher.SetDishwasherMode,2
dataset.csv,2,C01,Add 5 minutes to the oven.,D1,D1,지금 한 번,,set,1,unmarked,Oven.AddMoreTime,2
dataset.csv,3,C01,Start the rice cooker on cooking mode for 30 minutes.,D1,D1,지금 한 번,,set,1,unmarked,RiceCooker.SetCookingParameters,2
dataset.csv,4,C01,Set the siren to emergency mode.,D1,D1,지금 한 번,,set,1,unmarked,Siren.SetSirenMode,2
dataset.csv,5,C01,Set the speaker volume to 30.,D1,D1,지금 한 번,,set,1,unmarked,Speaker.SetVolume,2
dataset.csv,1,C08,"When button 1 of the multi-button is pressed, turn on all lights in the bedroom.",D4,D4,트리거 기다림,wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button1,5
dataset.csv,1,C02,Capture an image of the meeting room with the camera.,D1,D1,지금 한 번,,act,1,unmarked,Camera.CaptureImage,2
dataset.csv,2,C08,"When button 2 of the multi-button is pressed, turn off all lights in the bedroom.",D4,D4,트리거 기다림,wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button2,5
dataset.csv,1,C07,"When the contact sensor is detected, turn on the light.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,ContactSensor.Contact Switch.On,3
dataset.csv,2,C07,"When the presence sensor detects someone, turn on the TV.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,PresenceSensor.Presence Switch.On,3
dataset.csv,3,C07,"When the sound sensor value exceeds 50, stop speaker playback.",D4,D4,트리거 기다림,wait,act|read,2,unmarked,SoundSensor.Sound Speaker.Stop,3
dataset.csv,1,C05,"If someone is in the living room and smoke is being detected in the kitchen, announce 'Smoke has been detected in the kitchen' through the living room speaker and close the kitchen valve.",D3,D3,조건 지금,if,act|read|set,4,unmarked,PresenceSensor.Presence SmokeDetector.Smoke Speaker.Speak Valve.Close,5
dataset.csv,2,C05,"If the bedroom temperature is 26 degrees or higher and the bedroom window is open, close the window and turn on the air conditioner.",D3,D3,조건 지금,if,act|read,4,unmarked,Switch.On TemperatureSensor.Temperature WindowCovering.CurrentPosition WindowCovering.DownOrClose,4
dataset.csv,3,C05,"If motion is detected in the garage and the main siren is off, sound the siren in emergency and take a picture.",D3,D3,조건 지금,if,act|read|set,4,unmarked,Camera.CaptureImage MotionSensor.Motion Siren.SetSirenMode Siren.SirenMode,4
dataset.csv,1,C17,"Every 10 minutes, if the temperature is 30 degrees or higher, set the air conditioner to cool mode.",D7,D7,주기 반복,cycle|if,read|set,2,all,AirConditioner.SetAirConditionerMode TemperatureSensor.Temperature,3
dataset.csv,1,C15,"At 6 PM, set the level of all blinds with odd tags on the wall to 50%.",D6,D6,정해진 시각,cron,set,1,all,WindowCovering.SetLevel,3
dataset.csv,2,C15,"Every 2 hours on weekends, set all robot vacuum cleaners in the living room to repeat mode.",D6,D6,정해진 시각,cron,set,1,all,RobotVacuumCleaner.SetRobotVacuumCleanerMode,3
dataset.csv,1,C13,"Every hour, repeat opening and closing the door.",D7,D7,주기 반복,count|cycle|if,act,2,all,Door.Close Door.Open,2
dataset.csv,1,C18,"Every 5 minutes from 1 PM to 3 PM, repeat opening and closing the valve.",D8,D8,기간·횟수 제한 반복,count|cron|cycle|if|until_clock,act,2,all,Valve.Close Valve.Open,2
dataset.csv,2,C13,"Every 30 minutes, toggle the living room air purifier between sleep mode and auto mode.",D7,D7,주기 반복,count|cycle|if,set,1,all,AirPurifier.SetAirPurifierMode,2
dataset.csv,6,C01,Turn the TV channel down by one.,D12,D12,누적·상태 보존,selfref|var,read|set,2,unmarked,Television.Channel Television.SetChannel,2
dataset.csv,7,C01,Switch the TV to channel 7.,D1,D1,지금 한 번,,set,1,unmarked,Television.SetChannel,2
dataset.csv,8,C01,Announce the indoor temperature through the speaker.,D1,D1,지금 한 번,read|var,read|set,2,unmarked,Speaker.Speak TemperatureSensor.Temperature,4
dataset.csv,9,C01,Tell me the outdoor temperature through the speaker.,D1,D1,지금 한 번,read|var,read|set,2,unmarked,Speaker.Speak WeatherProvider.TemperatureWeather,3
dataset.csv,10,C01,Tell me the current humidity through the speaker.,D1,D1,지금 한 번,read|var,read|set,2,unmarked,HumiditySensor.Humidity Speaker.Speak,4
dataset.csv,11,C01,Tell me the outdoor humidity through the speaker.,D1,D1,지금 한 번,read|var,read|set,2,unmarked,Speaker.Speak WeatherProvider.HumidityWeather,3
dataset.csv,12,C01,Output today's weather through the speaker.,D1,D1,지금 한 번,read|var,read|set,2,unmarked,Speaker.Speak WeatherProvider.Weather,3
dataset.csv,13,C01,Announce the fine dust level through the speaker.,D1,D1,지금 한 번,read|var,read|set,2,unmarked,AirQualitySensor.FineDustLevel Speaker.Speak,4
dataset.csv,14,C01,Announce the outdoor fine dust level using the speaker.,D1,D1,지금 한 번,read|var,read|set,2,unmarked,Speaker.Speak WeatherProvider.Pm10Weather,3
dataset.csv,15,C01,"Generate a cat image using cloud service and save it as ""cat.png"".",D1,D1,지금 한 번,var,set,2,single,CloudServiceProvider.GenerateImage CloudServiceProvider.SaveToFile,1
dataset.csv,16,C01,Output the charger's power consumption through the speaker.,D1,D1,지금 한 번,read|var,read|set,2,unmarked,Charger.Power Speaker.Speak,4
dataset.csv,17,C01,Tell me today's menu using the speaker.,D1,D1,지금 한 번,read|var,read|set,2,unmarked,MenuProvider.TodayMenu Speaker.Speak,3
dataset.csv,18,C01,Tell me the lunch menu for Building 301 today through the speaker.,D1,D1,지금 한 번,var,set,2,unmarked,MenuProvider.GetMenu Speaker.Speak,3
dataset.csv,19,C01,"Ask the cloud AI what an LLM is, and output its answer through the speaker.",D1,D1,지금 한 번,var,set,2,unmarked,CloudServiceProvider.ChatWithAI Speaker.Speak,3
dataset.csv,3,C08,"When button 3 of the multi-button is pressed, set all living room lights to 30% brightness.",D4,D4,트리거 기다림,wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button3,5
dataset.csv,4,C08,"When button 4 of the multi-button is pressed, set all living room lights to 100% brightness.",D4,D4,트리거 기다림,wait,read|set,2,all,Light.MoveToBrightness MultiButton.Button4,5
dataset.csv,20,C01,Lock the safe.,D1,D1,지금 한 번,,act,1,unmarked,Safe.Lock,2
dataset.csv,21,C01,Close the door.,D1,D1,지금 한 번,,act,1,unmarked,Door.Close,2
