id,domain,space_id,intent,command,command_ko,expect,why,d,tier,context,targets,target_svc
G00001,농장,FARM01,기기제어,Light up the lights.,조명 켜.,refuse,no_device,D1,T0,none,,
G00002,농장,FARM04,기기제어,please switch the lights on.,조명 좀 켜 줘.,refuse,no_device,D1,T0,none,,
G00003,농장,FARM01,기기제어,can you get the lights on?,조명 켜 줄래?,refuse,no_device,D1,T0,none,,
G00004,농장,FARM04,기기제어,I'd like you to turn on the lights.,조명 켜 줬으면 해.,refuse,no_device,D1,T0,none,,
G00005,농장,FARM01,기기제어,could you put the lights on?,조명 켜 줄 수 있어?,refuse,no_device,D1,T0,none,,
G00006,농장,FARM01,기기제어,Light up the lights,조명 켜,refuse,no_device,D1,T0,none,,
G00007,농장,FARM01,기기제어,Switch the lights on.,조명 켜.,refuse,no_device,D1,T0,none,,
G00008,농장,FARM01,기기제어,It is too dark in here,여기 너무 어두워,ask,,D1,T0,none,FARM01_Greenhouse_GrowLight_1 FARM01_Greenhouse_GrowLight_2 FARM01_Greenhouse_GrowLight_3 FARM01_Greenhouse_GrowLight_4 FARM01_Greenhouse_WindowCovering_1 FARM01_Greenhouse_WindowCovering_2 FARM01_Greenhouse_WindowCovering_3,
G00009,농장,FARM01,기기제어,can you turn on the lights?,조명 켜 줄래?,refuse,no_device,D1,T0,none,,
G00010,농장,FARM04,기기제어,I'd like you to put the lights on.,조명 켜 줬으면 해.,refuse,no_device,D1,T0,none,,
G00011,농장,FARM04,기기제어,could you light up the lights?,조명 켜 줄 수 있어?,refuse,no_device,D1,T0,none,,
G00012,농장,FARM04,기기제어,Switch the lights on,조명 켜,refuse,no_device,D1,T0,none,,
G00013,농장,FARM04,기기제어,Get the lights on.,조명 켜.,refuse,no_device,D1,T0,none,,
G00042,농장,FARM03,기기제어,can you switch the field lights on?,밭 조명 켜 줄래?,execute,,D1,T0,none,FARM03_Field_Light_1 FARM03_Field_Light_2,
G00045,농장,FARM03,기기제어,I cannot see anything,아무것도 안 보여,execute,,D1,T0,none,FARM03_Field_Light_1 FARM03_Field_Light_2,
G00061,농장,FARM02,기기제어,Turn on the barn 4 light,축사 4 조명 켜,execute,,D1,T0,none,FARM02_Barn_Light_4,
G00092,농장,FARM02,기기제어,please switch the barn 1 light on.,축사 1 조명 좀 켜 줘.,execute,,D1,T0,none,FARM02_Barn_Light_1,
G00099,농장,FARM04,기기제어,can you bring the lights down to 15 percent?,조명 밝기를 15퍼센트까지 낮춰 줄래?,refuse,no_device,D1,T0,none,,
G00100,농장,FARM01,기기제어,can you tone it down a bit?,좀 낮춰 줄래?,ask,,D1,T0,none,FARM01_Greenhouse_GrowLight_1 FARM01_Greenhouse_GrowLight_2 FARM01_Greenhouse_GrowLight_3 FARM01_Greenhouse_GrowLight_4 FARM01_Greenhouse_WindowCovering_1 FARM01_Greenhouse_WindowCovering_2 FARM01_Greenhouse_WindowCovering_3,
G00101,농장,FARM04,기기제어,could you dim the lights to 20 percent?,조명 밝기를 20퍼센트로 낮춰 줄 수 있어?,refuse,no_device,D1,T0,none,,
G00102,농장,FARM04,기기제어,Turn the lights up to 90 percent,조명 밝기를 90퍼센트까지 올려,refuse,no_device,D1,T0,none,,
G00103,농장,FARM04,기기제어,Bring the lights down to 5 percent.,조명 밝기를 5퍼센트까지 낮춰.,refuse,no_device,D1,T0,none,,
G00104,농장,FARM04,기기제어,please set the lights brightness to 80 percent.,조명 밝기를 80퍼센트로 맞춰 주세요.,refuse,no_device,D1,T0,none,,
G00108,농장,FARM02,기기제어,Light up the light,조명 켜,ask,,D1,T0,none,FARM02_Barn_Light_1 FARM02_Barn_Light_2 FARM02_Barn_Light_3 FARM02_Barn_Light_4,
G00119,농장,FARM03,기기제어,could you bring the field lights down to 10 percent?,밭 조명 밝기를 10퍼센트까지 낮춰 줄 수 있어?,execute,,D1,T0,none,FARM03_Field_Light_1 FARM03_Field_Light_2,
G00135,농장,FARM03,기기제어,Bring the field lights down to 5 percent,밭 조명 밝기를 5퍼센트까지 낮춰,execute,,D1,T0,none,FARM03_Field_Light_1 FARM03_Field_Light_2,
G00139,농장,FARM02,기기제어,please turn on the barn lights.,축사 조명 켜 주세요.,execute,,D1,T0,none,FARM02_Barn_Light_1 FARM02_Barn_Light_2 FARM02_Barn_Light_3 FARM02_Barn_Light_4,
G00143,농장,FARM03,기기제어,Dim the field lights to 20 percent.,밭 조명 밝기를 20퍼센트로 낮춰.,execute,,D1,T0,none,FARM03_Field_Light_1 FARM03_Field_Light_2,
G00173,농장,FARM03,기기제어,can you bring the field lights down to 30 percent?,밭 조명 밝기를 30퍼센트까지 낮춰 줄래?,execute,,D1,T0,none,FARM03_Field_Light_1 FARM03_Field_Light_2,
