file,id,field,before,after,reason
corpus_100.csv,E1-039,topic_family,,lights/sun,author manual screening 2026-09-13: similar topic kept outside the duplicate field
corpus_100.csv,E1-040,topic_family,,lights/sun,author manual screening 2026-09-13: similar topic kept outside the duplicate field
corpus_100.csv,E1-067,topic_family,,motion-light,author manual screening 2026-09-13: similar topic kept outside the duplicate field
corpus_100.csv,E1-068,topic_family,,motion-light,author manual screening 2026-09-13: similar topic kept outside the duplicate field
corpus_100.csv,E1-087,topic_family,,timed-on,author manual screening 2026-09-13: similar topic kept outside the duplicate field
corpus_100.csv,E1-090,topic_family,,timed-on,author manual screening 2026-09-13: similar topic kept outside the duplicate field
corpus_100.csv,E1-092,topic_family,,parallel-flow,author manual screening 2026-09-13: similar topic kept outside the duplicate field
corpus_100.csv,E1-093,topic_family,,parallel-flow,author manual screening 2026-09-13: similar topic kept outside the duplicate field
corpus_100.csv,E1-094,topic_family,,parallel-flow,author manual screening 2026-09-13: similar topic kept outside the duplicate field
corpus_100.csv,E1-097,topic_family,,parallel-flow,author manual screening 2026-09-13: similar topic kept outside the duplicate field
corpus_100.csv,E1-020,notes,Original spelling preserved.,"Original spelling preserved. Author interpretation: if one of the two appliances is already running, a later start request for the other is not started. No notification action is added.",author manual screening 2026-09-13: minimal operational interpretation
corpus_100.csv,E1-027,screen_status,IN_SCOPE,AMBIGUOUS,author manual screening 2026-09-13: final status
corpus_100.csv,E1-027,screen_reason,,The clock meaning of 'between 7 and 12 pm' is unclear; the original text is kept without normalization.,author manual screening 2026-09-13: time range unclear
corpus_100.csv,E1-027,ambiguity_for_user,,Which time range 'between 7 and 12 pm' denotes.,author manual screening 2026-09-13: time range unclear
corpus_100.csv,E1-031,screen_status,UNMATCHED,IN_SCOPE,author manual screening 2026-09-13: final status
corpus_100.csv,E1-031,screen_reason,"Clear daily-count requirement, but the current service catalog does not expose the required history/count value.",,author manual screening 2026-09-13: UNMATCHED reason no longer applies
corpus_100.csv,E1-031,notes,Original spelling preserved.,Original spelling preserved. Author interpretation: a backend history/count service provides the day's toothbrush use count and the automation reads it as a guard. This is not a claim that the IR performs internal accumulation.,author manual screening 2026-09-13: backend count read as guard
corpus_100.csv,E1-039,duplicate_family,lights/sun,,author manual screening 2026-09-13: no retained duplicate under protocol §2
corpus_100.csv,E1-040,duplicate_family,lights/sun,,author manual screening 2026-09-13: no retained duplicate under protocol §2
corpus_100.csv,E1-042,trigger_class,event/state; clock/calendar,event/state,author manual screening 2026-09-13: presence sync; no time condition in the source
corpus_100.csv,E1-042,rb_adjudicated,,R1,author manual screening 2026-09-13: presence changes switch the light immediately; no time condition
corpus_100.csv,E1-050,trigger_class,event/state; clock/calendar,clock/calendar,author manual screening 2026-09-13: fixed clock time turns lights on
corpus_100.csv,E1-050,rb_adjudicated,,R9,author manual screening 2026-09-13: fixed clock time
corpus_100.csv,E1-056,trigger_class,event/state; clock/calendar,event/state,author manual screening 2026-09-13: first arrival is an event; no time condition
corpus_100.csv,E1-056,rb_adjudicated,,R1,author manual screening 2026-09-13: first-arrival event; no time condition
corpus_100.csv,E1-058,trigger_class,event/state,event/state; clock/calendar,author manual screening 2026-09-13: 'after dark' is a time/environment guard
corpus_100.csv,E1-058,temporal_class,delay/order,immediate/unspecified,"author manual screening 2026-09-13: 'after dark' is a guard, not a delay"
corpus_100.csv,E1-058,rb_adjudicated,,"R1, R9",author manual screening 2026-09-13: TV-on event under an after-dark time guard; no delay
corpus_100.csv,E1-067,duplicate_family,motion-light,,author manual screening 2026-09-13: no retained duplicate under protocol §2
corpus_100.csv,E1-068,duplicate_family,motion-light,,author manual screening 2026-09-13: no retained duplicate under protocol §2
corpus_100.csv,E1-069,trigger_class,clock/calendar,event/state,author manual screening 2026-09-13: whole-home vacancy state change; no time condition
corpus_100.csv,E1-069,rb_adjudicated,,R1,author manual screening 2026-09-13: vacancy state change; no time condition
corpus_100.csv,E1-071,trigger_class,event/state; clock/calendar; manual,manual,author manual screening 2026-09-13: manual voice command followed by several actions
corpus_100.csv,E1-071,rb_adjudicated,,R1,"author manual screening 2026-09-13: manual voice command, actions follow at once"
corpus_100.csv,E1-072,trigger_class,event/state,event/state; clock/calendar,author manual screening 2026-09-13: 'after dark' is a time/environment guard
corpus_100.csv,E1-072,temporal_class,delay/order,immediate/unspecified,"author manual screening 2026-09-13: 'after dark' is a guard, not a delay"
corpus_100.csv,E1-072,rb_adjudicated,,"R1, R9",author manual screening 2026-09-13: arrival/vacancy events under a time/environment guard; no delay
corpus_100.csv,E1-073,action_cardinality,multiple,single,author manual screening 2026-09-13: one notification
corpus_100.csv,E1-082,action_cardinality,multiple,single,author manual screening 2026-09-13: one notification
corpus_100.csv,E1-087,duplicate_family,timed-on,,author manual screening 2026-09-13: no retained duplicate under protocol §2
corpus_100.csv,E1-088,temporal_class,duration/window,immediate/unspecified,"author manual screening 2026-09-13: sunset-2h..sunset is a sun-based time guard, not a duration"
corpus_100.csv,E1-088,rb_adjudicated,,"R1, R9",author manual screening 2026-09-13: weather event under a sun-based time guard; no duration
corpus_100.csv,E1-090,duplicate_family,timed-on,,author manual screening 2026-09-13: no retained duplicate under protocol §2
corpus_100.csv,E1-091,screen_reason,The source leaves a behavior-defining choice unresolved.,The source does not state the content of the joint condition over the valve positions.,author manual screening 2026-09-13: joint condition unspecified
corpus_100.csv,E1-092,duplicate_family,parallel-flow,,author manual screening 2026-09-13: no retained duplicate under protocol §2
corpus_100.csv,E1-093,duplicate_family,parallel-flow,,author manual screening 2026-09-13: no retained duplicate under protocol §2
corpus_100.csv,E1-093,trigger_class,event/state; clock/calendar,event/state,author manual screening 2026-09-13: no time condition
corpus_100.csv,E1-094,duplicate_family,parallel-flow,,author manual screening 2026-09-13: no retained duplicate under protocol §2
corpus_100.csv,E1-095,screen_status,AMBIGUOUS,IN_SCOPE,author manual screening 2026-09-13: final status
corpus_100.csv,E1-095,ambiguity_for_user,Needs a case-specific interpretation question before any depth encoding.,,author manual screening 2026-09-13: interpretation fixed
corpus_100.csv,E1-095,notes,,"Author interpretation: read pH and chlorine at 10:00, 11:00, 12:00, 13:00 and 14:00 (five samples) and report each mean at 15:00.",author manual screening 2026-09-13: interpretation fixed
corpus_100.csv,E1-097,duplicate_family,parallel-flow,,author manual screening 2026-09-13: no retained duplicate under protocol §2
corpus_100.csv,E1-097,trigger_class,clock/calendar; manual,event/state,author manual screening 2026-09-13: doorbell event; not a clock or manual condition
corpus_100.csv,E1-097,control_class,sequence/composition; parallel,sequence/composition; guard/branch; parallel,author manual screening 2026-09-13: presence/zone guard
corpus_100.csv,E1-100,action_cardinality,multiple,single,author manual screening 2026-09-13: one notification
