candidate_id,final_corpus_id,decision,reason,source_url,source_locator,original_text
S-001,E1-001,RETAIN,Retained under the four-stratum quota.,https://github.com/home-assistant/core/blob/dev/homeassistant/components/automation/blueprints/motion_light.yaml,blueprint.description; input.no_motion_wait.description; mode; actions,"description: ""Turn on a light when motion is detected."" / no_motion_wait: ""Time to leave the light on after last motion is detected."" / mode: restart / actions: light.turn_on -> wait_for_trigger(motion on->off) -> delay(no_motion_wait) -> light.turn_off"
S-002,E1-002,RETAIN,Retained under the four-stratum quota.,https://arxiv.org/html/2102.01468v2,"§V-D, extended-action violation example, applet r_i",Turn on fan for 15 minutes when CO₂>1000ppm
S-003,E1-003,RETAIN,Retained under the four-stratum quota.,https://arxiv.org/html/2102.01468v2,"§V-D, extended-action violation example, applet r_j",At noon turn your fan on for 15 minutes
S-004,E1-004,RETAIN,Retained under the four-stratum quota.,https://community.home-assistant.io/t/how-to-set-notifications-when-door-is-left-open/520305,opening post (created 2023-01-17 UTC),set notification if door is left open for 2 minutes and if not closed after that it should send notifications each minute
S-005,E1-005,RETAIN,Retained under the four-stratum quota.,https://community.home-assistant.io/t/how-to-automate-open-door-notifications/783900,opening post (created 2024-10-18 UTC),"trigger: ""garage door is left open after 22:00 for more than 10 minutes""; ""Blink the kitchen lights by dimming up and down 10 times in quick succession""; ""pause for 5 minutes""; ""Repeat the cycle up to 7 times""; ""If at any point during the blinking cycles, the garage door is closed, stop the automation immediately""; ""Ensure the kitchen lights return to their original state ... after the automation ends or during the pauses"""
S-006,E1-006,RETAIN,Retained under the four-stratum quota.,https://homes.cs.washington.edu/~jessejm/data/ZhangICSE2019.pdf,"§III template (g) Event-Event Conditional sample response; same statement in User Study 1 data, Result sheet, Excel row 16, column AM (header 1_Q25, statement 1)",My smart door lock should always lock after I come in.
S-007,E1-007,RETAIN,Retained under the four-stratum quota.,https://homes.cs.washington.edu/~jessejm/data/ZhangICSE2019.pdf,"§VI-A Task 11, with the authors' rule explanation","""IF Roomba becomes on WHILE the curtain is open, THEN close the curtain; IF curtain becomes open WHILE Roomba is on, THEN turn off Roomba"" (property: ""Roomba is on should NEVER be active WHILE curtain is open"")"
S-008,E1-008,RETAIN,Retained under the four-stratum quota.,https://www.blaseur.com/papers/TriggerActionCHI14.pdf,"Results, trigger/action structure paragraph ('one participant specified')","When I get up at night, I would want my lights to turn on and off as I enter and exit the room."
S-009,E1-009,RETAIN,Retained under the four-stratum quota.,https://www.blaseur.com/papers/TriggerActionCHI14.pdf,"Table 1, Task I","If it is 10:00pm and my bedroom door is closed and the lights are off, turn the television off."
S-010,E1-010,RETAIN,Retained under the four-stratum quota.,https://homes.cs.washington.edu/~mcakmak/pdfs/2015/huang2015ubicomp.pdf,"Table 5, Q3","If the doorbell rings and the time is 3:00 pm, then unlock the front door for 10 seconds"
S-011,E1-011,RETAIN,Retained under the four-stratum quota.,https://homes.cs.washington.edu/~mcakmak/pdfs/2015/huang2015ubicomp.pdf,"Table 4, P3","Your work starts at 9:00 am. On days when you get to work on time, you want to send an email to yourself saying ""I got to work on time!"""
S-012,E1-012,RETAIN,Retained under the four-stratum quota.,https://par.nsf.gov/biblio/10106413,"Table 1, Event-Event paradigm, second example (full text: https://par.nsf.gov/servlets/purl/10106413)",IF Sally enters the bedroom AND AFTERWARDS the sun sets WITHIN 2 hours THEN turn on the bedroom lights.
S-013,E1-013,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 4, column BG (header 5_Q25, statement 5)",the smart stove should automatically shut off if it detects no pot or anything for more than 5 minutes
S-014,E1-014,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 4, column BL (header 6_Q25, statement 6)",the refridgerator should alarm if the door is open for longer than 5 minutes
S-015,E1-015,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 4, column BQ (header 7_Q25, statement 7)",the dishwasher should automatically start during off peak hours if set with soap
S-016,E1-016,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 6, column BV (header 8_Q25, statement 8)",My smart vacuum should always return to its base to charge when low on power.
S-017,E1-017,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 7, column AM (header 1_Q25, statement 1)",Device actions should be able to be interrupted by human interference.
S-018,E1-018,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 8, column AR (header 2_Q25, statement 2)",Take a picture of anyone new that passees by the camera and send it as a notification to my phone.
S-019,E1-019,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 8, column AW (header 3_Q25, statement 3)",Pause dishwasher if other devices need hot water.
S-020,E1-020,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 8, column BB (header 4_Q25, statement 4)",Never run the washing machine and the dish washer at the same time.
S-021,E1-021,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 8, column CA (header 9_Q25, statement 9)",Start to mow the lawn at 8 am once a week.
S-022,E1-022,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 8, column CF (header 10_Q25, statement 10)",Give the pets their food at 6am every day and at 6pm.
S-023,E1-023,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 10, column AM (header 1_Q25, statement 1)",smart sprinkler should never activate when it has recently rained
S-024,E1-024,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 12, column BL (header 6_Q25, statement 6)",My smart sprinkler should never be on more than 10 minutes every 2 days.
S-025,E1-025,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 13, column BV (header 8_Q25, statement 8)",Never test the CO detector after 10 PM
S-026,E1-026,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 18, column BL (header 6_Q25, statement 6)",A smart light should only come on when it is a certain brightness in the room or a user activates it manually.
S-027,E1-027,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 21, column AR (header 2_Q25, statement 2)",my outdoor lights should always be on between 7 and 12 pm
S-028,E1-028,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 26, column AR (header 2_Q25, statement 2)",My smart pet feeder should never allow to dispense more than 2 bowls of food per every 4 hours.
S-029,E1-029,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 28, column BB (header 4_Q25, statement 4)",the lock should lock 10 seconds after you close the door
S-030,E1-030,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 31, column CF (header 10_Q25, statement 10)",Smart tv should always turn off when idle for 1 hour.
S-031,E1-031,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 48, column CF (header 10_Q25, statement 10)",The Smart TV in the children's room should never turn on whenever the toothbrush has not been used at least twice that day
S-032,E1-032,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 51, column AW (header 3_Q25, statement 3)",My smart window should never be opened while the AC is on.
S-033,E1-033,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 54, column AR (header 2_Q25, statement 2)",My smart garage door should always be opened on weekdays from 5pm to 6pm.
S-034,E1-034,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 60, column CA (header 9_Q25, statement 9)","My smart oven should never be on for than 4 hours, maximum without alerting if more time is needed, and shutting off if not responded to."
S-035,E1-035,RETAIN,Retained under the four-stratum quota.,https://github.com/zlfben/autotap/blob/master/data/Data%20-%20User%20Study%201.xlsx,"Result sheet, Excel row 67, column AW (header 3_Q25, statement 3)",My smart TV should turn off whenever it has been empty of people for more than 10 minutes.
