file,id,field,before,after,reason
corpus_100.csv,E1-001,source_locator,C01,blueprint.description; input.no_motion_wait.description; mode; actions,"seed locator held the Stage A case id, not a location in the source"
corpus_100.csv,E1-001,accessed_date,2026-09-13,2026-09-12,Stage A source record (cases.py) gives the original access date
corpus_100.csv,E1-001,source_verification,SOURCE_AND_LOCATOR_CHECKED,SERVER_CHECKED_2026-09-13; CORRECTED,pre-audit value was GPT-side; replaced by the server-side check result
corpus_100.csv,E1-002,source_locator,C03,"§V-D, extended-action violation example, applet r_i","seed locator held the Stage A case id, not a location in the source"
corpus_100.csv,E1-002,accessed_date,2026-09-13,2026-09-12,Stage A source record (cases.py) gives the original access date
corpus_100.csv,E1-002,source_verification,SOURCE_AND_LOCATOR_CHECKED,SERVER_CHECKED_2026-09-13; CORRECTED,pre-audit value was GPT-side; replaced by the server-side check result
corpus_100.csv,E1-003,source_locator,C04,"§V-D, extended-action violation example, applet r_j","seed locator held the Stage A case id, not a location in the source"
corpus_100.csv,E1-003,accessed_date,2026-09-13,2026-09-12,Stage A source record (cases.py) gives the original access date
corpus_100.csv,E1-003,source_verification,SOURCE_AND_LOCATOR_CHECKED,SERVER_CHECKED_2026-09-13; CORRECTED,pre-audit value was GPT-side; replaced by the server-side check result
corpus_100.csv,E1-004,source_locator,C05,opening post (created 2023-01-17 UTC),"seed locator held the Stage A case id, not a location in the source"
corpus_100.csv,E1-004,accessed_date,2026-09-13,2026-09-12,Stage A source record (cases.py) gives the original access date
corpus_100.csv,E1-004,source_title,Home Assistant Community thread 520305 (2023-01-18),Home Assistant Community thread 520305: How to set notifications when door is left open?,"title after the colon was a researcher label, not the thread title"
corpus_100.csv,E1-004,source_verification,SOURCE_AND_LOCATOR_CHECKED,SERVER_CHECKED_2026-09-13; CORRECTED,pre-audit value was GPT-side; replaced by the server-side check result
corpus_100.csv,E1-005,source_locator,C07,opening post (created 2024-10-18 UTC),"seed locator held the Stage A case id, not a location in the source"
